instance,acacia_result,acacia_seconds,acacia_exit,ltlsynt_result,ltlsynt_seconds,ltlsynt_exit,ltlsynt_comparison
g-unreal-118.tlsf,TIMEOUT,17.02,124,UNREALIZABLE,0.03,1,SOLVED_ONLY_BY_LTLSYNT
g-unreal-119.tlsf,TIMEOUT,17.025,124,UNREALIZABLE,0.031,1,SOLVED_ONLY_BY_LTLSYNT
g-unreal-12.tlsf,UNREALIZABLE,0.036,1,UNREALIZABLE,0.023,1,LTLSYNT_FASTER
g-unreal-120.tlsf,TIMEOUT,17.032,124,UNREALIZABLE,0.036,1,SOLVED_ONLY_BY_LTLSYNT
g-unreal-13.tlsf,UNREALIZABLE,0.056,1,UNREALIZABLE,0.02,1,LTLSYNT_FASTER
g-unreal-14.tlsf,UNREALIZABLE,0.142,1,UNREALIZABLE,0.026,1,LTLSYNT_FASTER
g-unreal-15.tlsf,UNREALIZABLE,0.234,1,UNREALIZABLE,0.024,1,LTLSYNT_FASTER
g-unreal-16.tlsf,UNREALIZABLE,0.377,1,UNREALIZABLE,0.023,1,LTLSYNT_FASTER
g-unreal-17.tlsf,UNREALIZABLE,0.448,1,UNREALIZABLE,0.025,1,LTLSYNT_FASTER
g-unreal-18.tlsf,UNREALIZABLE,1.838,1,UNREALIZABLE,0.025,1,LTLSYNT_FASTER
g-unreal-19.tlsf,UNREALIZABLE,2.706,1,UNREALIZABLE,0.025,1,LTLSYNT_FASTER
g-unreal-20.tlsf,TIMEOUT,17.132,124,UNREALIZABLE,0.321,1,SOLVED_ONLY_BY_LTLSYNT
g-unreal-21.tlsf,TIMEOUT,17.081,124,UNREALIZABLE,1.152,1,SOLVED_ONLY_BY_LTLSYNT
g-unreal-30.tlsf,UNREALIZABLE,0.047,1,UNREALIZABLE,0.025,1,LTLSYNT_FASTER
g-unreal-31.tlsf,UNREALIZABLE,0.307,1,UNREALIZABLE,0.023,1,LTLSYNT_FASTER
g-unreal-310.tlsf,TIMEOUT,17.05,124,UNREALIZABLE,0.124,1,SOLVED_ONLY_BY_LTLSYNT
g-unreal-311.tlsf,TIMEOUT,17.05,124,UNREALIZABLE,0.148,1,SOLVED_ONLY_BY_LTLSYNT
g-unreal-312.tlsf,TIMEOUT,17.05,124,UNREALIZABLE,0.156,1,SOLVED_ONLY_BY_LTLSYNT
g-unreal-313.tlsf,TIMEOUT,17.05,124,UNREALIZABLE,0.172,1,SOLVED_ONLY_BY_LTLSYNT
g-unreal-314.tlsf,TIMEOUT,17.082,124,TIMEOUT,17.01,124,
g-unreal-32.tlsf,UNREALIZABLE,6.823,1,UNREALIZABLE,0.023,1,LTLSYNT_FASTER
g-unreal-33.tlsf,TIMEOUT,17.05,124,UNREALIZABLE,0.03,1,SOLVED_ONLY_BY_LTLSYNT
g-unreal-34.tlsf,TIMEOUT,17.082,124,UNREALIZABLE,0.036,1,SOLVED_ONLY_BY_LTLSYNT
g-unreal-35.tlsf,TIMEOUT,17.082,124,UNREALIZABLE,0.038,1,SOLVED_ONLY_BY_LTLSYNT
g-unreal-36.tlsf,TIMEOUT,17.082,124,UNREALIZABLE,0.039,1,SOLVED_ONLY_BY_LTLSYNT
g-unreal-37.tlsf,TIMEOUT,17.082,124,UNREALIZABLE,0.04,1,SOLVED_ONLY_BY_LTLSYNT
g-unreal-38.tlsf,TIMEOUT,17.081,124,UNREALIZABLE,0.078,1,SOLVED_ONLY_BY_LTLSYNT
g-unreal-39.tlsf,TIMEOUT,17.082,124,UNREALIZABLE,0.105,1,SOLVED_ONLY_BY_LTLSYNT
generalized_buffer_pb_2_pe_.tlsf,REALIZABLE,0.024,0,REALIZABLE,0.07,0,
generalized_buffer_pb_3_pe_.tlsf,REALIZABLE,0.072,0,TIMEOUT,17.033,124,
generalized_buffer_pb_4_pe_.tlsf,REALIZABLE,5.948,0,TIMEOUT,17.034,124,
generalized_buffer_pb_5_pe_.tlsf,TIMEOUT,17.033,124,UNKNOWN,13.687,2,
generalized_buffer_pb_6_pe_.tlsf,TIMEOUT,17.033,124,TIMEOUT,17.049,124,
gf-real-real.tlsf,REALIZABLE,0.027,0,REALIZABLE,0.024,0,LTLSYNT_FASTER
gf-unreal0.tlsf,UNREALIZABLE,0.01,1,UNREALIZABLE,0.01,1,
gf-unreal1.tlsf,UNREALIZABLE,0.01,1,UNREALIZABLE,0.011,1,
gf-unreal10.tlsf,UNREALIZABLE,0.013,1,UNREALIZABLE,0.013,1,
gf-unreal11.tlsf,UNREALIZABLE,0.012,1,UNREALIZABLE,0.013,1,
gf-unreal12.tlsf,UNREALIZABLE,0.013,1,UNREALIZABLE,0.012,1,LTLSYNT_FASTER
gf-unreal13.tlsf,UNREALIZABLE,0.013,1,UNREALIZABLE,0.012,1,LTLSYNT_FASTER
gf-unreal14.tlsf,UNREALIZABLE,0.013,1,UNREALIZABLE,0.02,1,
gf-unreal15.tlsf,UNREALIZABLE,0.018,1,UNREALIZABLE,0.018,1,
gf-unreal16.tlsf,UNREALIZABLE,0.021,1,UNREALIZABLE,0.021,1,
gf-unreal17.tlsf,UNREALIZABLE,0.021,1,UNREALIZABLE,0.021,1,
gf-unreal18.tlsf,UNREALIZABLE,0.025,1,UNREALIZABLE,0.02,1,LTLSYNT_FASTER
gf-unreal19.tlsf,UNREALIZABLE,0.028,1,UNREALIZABLE,0.019,1,LTLSYNT_FASTER
