id	admitted_17	elapsed_17_s	reason_17	admitted_60	elapsed_60_s	reason_60
F-G-contradiction-110.ltl	no	0.094013	unsupported_or_failed	no	0.098249	unsupported_or_failed
F-G-contradiction-111.ltl	no	0.096405	unsupported_or_failed	no	0.095413	unsupported_or_failed
F-G-contradiction-112.ltl	no	0.100336	unsupported_or_failed	no	0.103035	unsupported_or_failed
F-G-contradiction-113.ltl	no	0.103875	unsupported_or_failed	no	0.108698	unsupported_or_failed
F-G-contradiction-114.ltl	no	0.113807	unsupported_or_failed	no	0.113379	unsupported_or_failed
F-G-contradiction-12.ltl	no	0.065324	unsupported_or_failed	no	0.066481	unsupported_or_failed
F-G-contradiction-13.ltl	no	0.064395	unsupported_or_failed	no	0.067543	unsupported_or_failed
F-G-contradiction-14.ltl	no	0.064963	unsupported_or_failed	no	0.064498	unsupported_or_failed
F-G-contradiction-15.ltl	no	0.066894	unsupported_or_failed	no	0.066904	unsupported_or_failed
F-G-contradiction-16.ltl	no	0.081059	unsupported_or_failed	no	0.078200	unsupported_or_failed
F-G-contradiction-17.ltl	no	0.085104	unsupported_or_failed	no	0.086797	unsupported_or_failed
F-G-contradiction-18.ltl	no	0.088265	unsupported_or_failed	no	0.090955	unsupported_or_failed
F-G-contradiction-19.ltl	no	0.093995	unsupported_or_failed	no	0.092408	unsupported_or_failed
F-G-contradiction-2-unreal.ltl	no	0.062645	unsupported_or_failed	no	0.063222	unsupported_or_failed
FelixSpecFixed2.2.core_fa8592c8.ltl	no	0.118362	unsupported_or_failed	no	0.117306	unsupported_or_failed
FelixSpecFixed2_fa4d4ce3.ltl	no	0.854208	budget_exhausted	no	1.004403	budget_exhausted
FelixSpecFixed3.core_b209ff21.ltl	no	0.854813	budget_exhausted	no	1.007588	budget_exhausted
FelixSpecFixed3_b0840146.ltl	no	0.855094	budget_exhausted	no	1.004485	budget_exhausted
FelixSpecFixed4GuaranteesOnly_88f351a6.ltl	no	0.064808	unsupported_or_failed	no	0.062238	unsupported_or_failed
FelixSpecFixed4_3916ec59.ltl	no	0.854011	budget_exhausted	no	1.004982	budget_exhausted
FelixSpecFixed5_f82794da.ltl	no	0.854514	budget_exhausted	no	1.005143	budget_exhausted
FelixSpecFixed_2418b67e.ltl	no	0.854137	budget_exhausted	no	1.004525	budget_exhausted
Full_f1477cc5.ltl	no	0.192398	unsupported_or_failed	no	0.196543	unsupported_or_failed
GF-G-contradiction0.ltl	no	0.068051	unsupported_or_failed	no	0.073587	unsupported_or_failed
GF-G-contradiction1.ltl	no	0.068107	unsupported_or_failed	no	0.071988	unsupported_or_failed
GF-G-contradiction2.ltl	no	0.071889	unsupported_or_failed	no	0.068362	unsupported_or_failed
GF-G-contradiction3.ltl	no	0.077734	unsupported_or_failed	no	0.080925	unsupported_or_failed
GF-G-contradiction4.ltl	no	0.080655	unsupported_or_failed	no	0.083130	unsupported_or_failed
