instance	result	exit_code	seconds	cap_s
g-unreal-21.ltl	TIMEOUT	124	17.092899940998905	17
g-unreal-30.ltl	UNREALIZABLE	1	0.06007382499956293	17
g-unreal-31.ltl	UNREALIZABLE	1	0.060768708997784415	17
g-unreal-310.ltl	UNREALIZABLE	1	16.739162435998878	17
g-unreal-311.ltl	TIMEOUT	124	17.053334394000558	17
g-unreal-312.ltl	TIMEOUT	124	17.040223996998975	17
g-unreal-313.ltl	TIMEOUT	124	17.053281812000932	17
g-unreal-314.ltl	TIMEOUT	124	17.089370166999288	17
g-unreal-32.ltl	UNREALIZABLE	1	0.2057673960007378	17
g-unreal-33.ltl	UNREALIZABLE	1	0.48196227600055863	17
g-unreal-34.ltl	UNREALIZABLE	1	0.8386170249978022	17
g-unreal-35.ltl	UNREALIZABLE	1	0.9773024230016745	17
g-unreal-36.ltl	UNREALIZABLE	1	1.0845094010001048	17
g-unreal-37.ltl	UNREALIZABLE	1	1.6707949320007174	17
g-unreal-38.ltl	UNREALIZABLE	1	6.606557930997951	17
g-unreal-39.ltl	UNREALIZABLE	1	8.463804341998184	17
generalized_buffer_pb_2_pe_.ltl	REALIZABLE	0	0.02358689899847377	17
generalized_buffer_pb_3_pe_.ltl	REALIZABLE	0	0.025508210997941205	17
generalized_buffer_pb_4_pe_.ltl	REALIZABLE	0	0.10310508400289109	17
generalized_buffer_pb_5_pe_.ltl	REALIZABLE	0	1.697068623998348	17
generalized_buffer_pb_6_pe_.ltl	TIMEOUT	124	17.05319441499887	17
gf-real-real.ltl	REALIZABLE	0	0.04319554299945594	17
gf-unreal0.ltl	UNREALIZABLE	1	0.021250978999887593	17
gf-unreal1.ltl	UNREALIZABLE	1	0.03182293300051242	17
gf-unreal10.ltl	UNREALIZABLE	1	0.038359131998731755	17
gf-unreal11.ltl	UNREALIZABLE	1	0.04230288700273377	17
gf-unreal12.ltl	UNREALIZABLE	1	0.0459052240003075	17
gf-unreal13.ltl	UNREALIZABLE	1	0.052891739000187954	17
gf-unreal14.ltl	UNREALIZABLE	1	0.04679349700018065	17
gf-unreal15.ltl	UNREALIZABLE	1	0.05043054400084657	17
gf-unreal16.ltl	UNREALIZABLE	1	0.04341015499812784	17
gf-unreal17.ltl	UNREALIZABLE	1	0.044021162000717595	17
gf-unreal18.ltl	UNREALIZABLE	1	0.039648092999414075	17
gf-unreal19.ltl	UNREALIZABLE	1	0.04245859300135635	17
gf-unreal2.ltl	UNREALIZABLE	1	0.03261532900069142	17
gf-unreal20.ltl	UNREALIZABLE	1	0.0369076219976705	17
gf-unreal21.ltl	UNREALIZABLE	1	0.03439926600185572	17
gf-unreal22.ltl	UNREALIZABLE	1	0.04365330200016615	17
gf-unreal23.ltl	UNREALIZABLE	1	0.04072235700004967	17
gf-unreal24.ltl	UNREALIZABLE	1	0.044781491000321694	17
gf-unreal25.ltl	UNREALIZABLE	1	0.044680491999315564	17
gf-unreal26.ltl	UNREALIZABLE	1	0.04703209600120317	17
gf-unreal27.ltl	UNREALIZABLE	1	0.03847712399874581	17
gf-unreal28.ltl	UNREALIZABLE	1	0.03684487399732461	17
gf-unreal29.ltl	UNREALIZABLE	1	0.03057946700209868	17
gf-unreal3.ltl	UNREALIZABLE	1	0.031978106999304146	17
gf-unreal30.ltl	UNREALIZABLE	1	0.04482803500286536	17
gf-unreal31.ltl	UNREALIZABLE	1	0.04192044299998088	17
gf-unreal32.ltl	UNREALIZABLE	1	0.04691079500116757	17
gf-unreal33.ltl	UNREALIZABLE	1	0.05378015400128788	17
gf-unreal34.ltl	UNREALIZABLE	1	0.04440967999835266	17
gf-unreal35.ltl	UNREALIZABLE	1	0.05102025499945739	17
gf-unreal36.ltl	UNREALIZABLE	1	0.04484337099711411	17
gf-unreal37.ltl	UNREALIZABLE	1	0.0484092500009865	17
gf-unreal38.ltl	UNREALIZABLE	1	0.04203322399916942	17
gf-unreal39.ltl	UNREALIZABLE	1	0.04925211499721627	17
gf-unreal4.ltl	UNREALIZABLE	1	0.03039278500000364	17
gf-unreal40.ltl	UNREALIZABLE	1	0.05352176400265307	17
gf-unreal41.ltl	UNREALIZABLE	1	0.04843219299800694	17
gf-unreal42.ltl	UNREALIZABLE	1	0.038799099002062576	17
gf-unreal43.ltl	UNREALIZABLE	1	0.057504011998389615	17
gf-unreal44.ltl	UNREALIZABLE	1	0.053850358999625314	17
gf-unreal45.ltl	UNREALIZABLE	1	0.05540692899739952	17
gf-unreal46.ltl	UNREALIZABLE	1	0.04178615699856891	17
gf-unreal47.ltl	UNREALIZABLE	1	0.04242908099695342	17
gf-unreal5.ltl	UNREALIZABLE	1	0.0333143050011131	17
gf-unreal6.ltl	UNREALIZABLE	1	0.041468408999207895	17
gf-unreal7.ltl	UNREALIZABLE	1	0.036618258000089554	17
gf-unreal8.ltl	UNREALIZABLE	1	0.04095707300075446	17
gf-unreal9.ltl	UNREALIZABLE	1	0.040783075000945246	17
heim-buechi-real.ltl	REALIZABLE	0	2.041006808001839	17
heim-double-x-real.ltl	TIMEOUT	124	17.05309169099928	17
heim-double-x0.ltl	UNREALIZABLE	1	0.04152475000228151	17
heim-double-x1.ltl	UNREALIZABLE	1	0.049097872000857024	17
heim-double-x10.ltl	UNREALIZABLE	1	1.7275515429973893	17
heim-double-x11.ltl	UNREALIZABLE	1	1.9102635429990187	17
heim-double-x12.ltl	UNREALIZABLE	1	3.2187964580007247	17
heim-double-x13.ltl	UNREALIZABLE	1	3.830698495999968	17
heim-double-x2.ltl	UNREALIZABLE	1	0.05750998700023047	17
heim-double-x3.ltl	UNREALIZABLE	1	0.10044123799889348	17
heim-double-x4.ltl	UNREALIZABLE	1	0.20253868899817462	17
heim-double-x5.ltl	UNREALIZABLE	1	0.2458910229979665	17
heim-double-x6.ltl	UNREALIZABLE	1	0.3004075450007804	17
heim-double-x7.ltl	UNREALIZABLE	1	0.3482163459993899	17
heim-double-x8.ltl	UNREALIZABLE	1	0.8894056489989453	17
heim-double-x9.ltl	UNREALIZABLE	1	1.5598964590026299	17
heim-fig7-unreal.ltl	UNREALIZABLE	1	0.021268570999382064	17
helipad-contradict0.ltl	TIMEOUT	124	17.053149512001255	17
helipad-contradict1.ltl	TIMEOUT	124	17.05265792100181	17
helipad-real.ltl	TIMEOUT	124	17.13547160899907	17
infinite-race-real.ltl	REALIZABLE	0	0.03638263600078062	17
infinite-race-u0.ltl	UNREALIZABLE	1	0.04257809699993231	17
infinite-race-u1.ltl	UNREALIZABLE	1	0.039895818998047616	17
infinite-race-u10.ltl	UNREALIZABLE	1	8.12866905899864	17
infinite-race-u11.ltl	UNREALIZABLE	1	10.229725220997352	17
infinite-race-u12.ltl	TIMEOUT	124	17.08549830999982	17
infinite-race-u13.ltl	TIMEOUT	124	17.072870913998486	17
infinite-race-u14.ltl	TIMEOUT	124	17.08638358299868	17
infinite-race-u15.ltl	TIMEOUT	124	17.085954484999093	17
infinite-race-u16.ltl	TIMEOUT	124	17.085941679000825	17
infinite-race-u17.ltl	TIMEOUT	124	17.14172083900121	17
infinite-race-u18.ltl	TIMEOUT	124	17.14602002999891	17
infinite-race-u19.ltl	TIMEOUT	124	17.146292466000887	17
infinite-race-u2.ltl	UNREALIZABLE	1	0.08531945300273946	17
infinite-race-u20.ltl	TIMEOUT	124	17.085350744000607	17
infinite-race-u21.ltl	TIMEOUT	124	17.0857530079993	17
infinite-race-u22.ltl	TIMEOUT	124	17.08571680499881	17
infinite-race-u23.ltl	TIMEOUT	124	17.085352788999444	17
infinite-race-u24.ltl	TIMEOUT	124	17.085846428002696	17
infinite-race-u25.ltl	TIMEOUT	124	17.08707143999709	17
infinite-race-u3.ltl	UNREALIZABLE	1	0.06646700200144551	17
infinite-race-u4.ltl	UNREALIZABLE	1	0.10373021799750859	17
infinite-race-u5.ltl	UNREALIZABLE	1	0.1523384399988572	17
infinite-race-u6.ltl	UNREALIZABLE	1	0.8042528980004136	17
infinite-race-u7.ltl	UNREALIZABLE	1	1.1690720279984816	17
infinite-race-u8.ltl	UNREALIZABLE	1	1.837487061999127	17
infinite-race-u9.ltl	UNREALIZABLE	1	6.326992958001938	17
infinite-race-unequal-1-real.ltl	REALIZABLE	0	0.15589982500023325	17
infinite-race-unequal-10.ltl	UNREALIZABLE	1	0.02291846899970551	17
infinite-race-unequal-20.ltl	UNREALIZABLE	1	0.03272745499998564	17
infinite-race-unequal-21.ltl	UNREALIZABLE	1	0.04976135700053419	17
infinite-race-unequal-22.ltl	UNREALIZABLE	1	0.06429715400008718	17
infinite-race-unequal-23.ltl	UNREALIZABLE	1	0.12229597500117961	17
infinite-race-unequal-24.ltl	UNREALIZABLE	1	1.1535615629982203	17
infinite-race-unequal-25.ltl	UNREALIZABLE	1	13.17105869399893	17
infinite-race-unequal-26.ltl	TIMEOUT	124	17.080266270997527	17
items_processing-real.ltl	TIMEOUT	124	17.052629239999078	17
jarvis_gideon_a02758ea.ltl	UNREALIZABLE	1	0.019930012000259012	17
jarvis_philippe_484face8.ltl	UNREALIZABLE	1	0.024773297001956962	17
lazy_shades_problem_d6376bf9.ltl	REALIZABLE	0	0.0439241009989928	17
lift_gr1+_pb_2_pe_.ltl	REALIZABLE	0	0.03860603900102433	17
lift_gr1+_pb_3_pe_.ltl	REALIZABLE	0	1.2473163239992573	17
