revision	binary	backend	phase	repetition	cycles	perf_file
candidate	downset-bm-d128	vector_backed	cpre	1	8555453365	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-d128-vector_backed-cpre-r1.perf
candidate	downset-bm-d128	vector_backed	cpre	2	8533647097	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-d128-vector_backed-cpre-r2.perf
candidate	downset-bm-d128	vector_backed	cpre	3	8539508729	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-d128-vector_backed-cpre-r3.perf
candidate	downset-bm-d128	vector_backed	cpre	4	8562264819	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-d128-vector_backed-cpre-r4.perf
candidate	downset-bm-d128	vector_backed	cpre	5	8544492613	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-d128-vector_backed-cpre-r5.perf
candidate	simd-bm	vector_backed	simd	1	2337132	/tmp/posets-noise-calibration-20260810/candidate-simd-bm-vector_backed-simd-r1.perf
candidate	simd-bm	vector_backed	simd	2	2301841	/tmp/posets-noise-calibration-20260810/candidate-simd-bm-vector_backed-simd-r2.perf
candidate	simd-bm	vector_backed	simd	3	2275527	/tmp/posets-noise-calibration-20260810/candidate-simd-bm-vector_backed-simd-r3.perf
candidate	simd-bm	vector_backed	simd	4	2364906	/tmp/posets-noise-calibration-20260810/candidate-simd-bm-vector_backed-simd-r4.perf
candidate	simd-bm	vector_backed	simd	5	2328799	/tmp/posets-noise-calibration-20260810/candidate-simd-bm-vector_backed-simd-r5.perf
