cap	epoch	instance	kind	baseline_status	baseline_seconds	candidate_status	candidate_seconds	delta_seconds
120	1	collector_v2_pb_11_pe_.ltl	slower	REALIZABLE	0.343	REALIZABLE	0.450	+0.108
120	1	evasion-real.ltl	gain	TIMEOUT		REALIZABLE	23.632	
120	1	f-real-real.ltl	gain	TIMEOUT		REALIZABLE	32.015	
120	1	g-real-real.ltl	faster	REALIZABLE	5.448	REALIZABLE	2.902	-2.547
120	1	g-unreal-110.ltl	faster	UNREALIZABLE	2.634	UNREALIZABLE	2.365	-0.270
120	1	g-unreal-112.ltl	faster	UNREALIZABLE	7.320	UNREALIZABLE	6.481	-0.839
120	1	g-unreal-115.ltl	faster	UNREALIZABLE	17.825	UNREALIZABLE	16.396	-1.429
120	1	g-unreal-118.ltl	faster	UNREALIZABLE	67.496	UNREALIZABLE	63.921	-3.574
120	1	g-unreal-120.ltl	faster	UNREALIZABLE	101.117	UNREALIZABLE	94.660	-6.457
120	1	g-unreal-18.ltl	faster	UNREALIZABLE	1.295	UNREALIZABLE	1.114	-0.181
120	1	g-unreal-19.ltl	faster	UNREALIZABLE	2.167	UNREALIZABLE	2.046	-0.121
120	1	g-unreal-34.ltl	faster	UNREALIZABLE	0.992	UNREALIZABLE	0.929	-0.062
120	1	g-unreal-35.ltl	slower	UNREALIZABLE	1.008	UNREALIZABLE	1.068	+0.060
120	1	g-unreal-36.ltl	slower	UNREALIZABLE	1.119	UNREALIZABLE	1.177	+0.059
120	1	heim-buechi-real.ltl	faster	REALIZABLE	2.178	REALIZABLE	2.028	-0.150
120	1	heim-double-x-real.ltl	gain	TIMEOUT		REALIZABLE	0.419	
120	1	heim-double-x10.ltl	slower	UNREALIZABLE	2.303	UNREALIZABLE	2.560	+0.257
120	1	heim-double-x11.ltl	slower	UNREALIZABLE	2.796	UNREALIZABLE	3.115	+0.319
120	1	heim-double-x9.ltl	slower	UNREALIZABLE	1.992	UNREALIZABLE	2.127	+0.135
120	1	infinite-race-u10.ltl	slower	UNREALIZABLE	10.321	UNREALIZABLE	10.906	+0.586
120	1	infinite-race-u12.ltl	slower	UNREALIZABLE	40.222	UNREALIZABLE	42.703	+2.481
120	1	infinite-race-u13.ltl	slower	UNREALIZABLE	40.492	UNREALIZABLE	43.785	+3.292
120	1	infinite-race-u15.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	1	infinite-race-u16.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	1	infinite-race-u17.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	1	infinite-race-u18.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	1	infinite-race-u19.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	1	infinite-race-u20.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	1	infinite-race-u21.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	1	infinite-race-u22.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	1	infinite-race-u23.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	1	infinite-race-u24.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	1	infinite-race-u25.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	1	infinite-race-u8.ltl	slower	UNREALIZABLE	2.401	UNREALIZABLE	2.569	+0.168
120	1	infinite-race-u9.ltl	slower	UNREALIZABLE	8.623	UNREALIZABLE	9.271	+0.648
120	1	lift_gr1+_pb_3_pe_.ltl	faster	REALIZABLE	1.293	REALIZABLE	1.197	-0.097
120	1	lift_pb_3_pe_.ltl	slower	REALIZABLE	0.052	REALIZABLE	0.640	+0.588
120	1	lift_pb_4_pe_.ltl	loss	REALIZABLE	0.291	MEMOUT		
120	1	lift_pb_5_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	1	lift_pb_6_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	1	lift_unary_enc_pb_3_pe_.ltl	slower	REALIZABLE	0.075	REALIZABLE	0.645	+0.570
120	1	lift_unary_enc_pb_4_pe_.ltl	loss	REALIZABLE	10.299	MEMOUT		
120	1	lift_unary_enc_pb_5_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	1	lift_unary_enc_pb_6_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	1	load_balancer_unreal1_pb_2_15_pe_.ltl	slower	UNREALIZABLE	0.698	UNREALIZABLE	0.796	+0.098
120	1	load_balancer_unreal1_pb_2_16_pe_.ltl	slower	UNREALIZABLE	1.519	UNREALIZABLE	1.783	+0.264
120	1	load_balancer_unreal1_pb_4_10_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	1	load_balancer_unreal1_pb_4_11_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	1	load_balancer_unreal1_pb_4_12_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	1	load_balancer_unreal1_pb_4_7_pe_.ltl	slower	UNREALIZABLE	7.730	UNREALIZABLE	8.705	+0.976
120	1	load_balancer_unreal1_pb_4_8_pe_.ltl	slower	UNREALIZABLE	84.496	UNREALIZABLE	93.267	+8.771
120	1	load_balancer_unreal1_pb_5_5_pe_.ltl	slower	UNREALIZABLE	13.720	UNREALIZABLE	14.899	+1.179
120	1	load_balancer_unreal1_pb_6_4_pe_.ltl	slower	UNREALIZABLE	22.590	UNREALIZABLE	23.969	+1.378
120	1	ltl2dba_C2_unreal_pb_13_pe_.ltl	slower	UNREALIZABLE	1.182	UNREALIZABLE	1.258	+0.076
120	1	ltl2dba_R_pb_6_pe_.ltl	faster	UNREALIZABLE	0.623	UNREALIZABLE	0.560	-0.063
120	1	ltl2dba_R_pb_8_pe_.ltl	faster	UNREALIZABLE	90.990	UNREALIZABLE	84.974	-6.016
120	1	ltl2dba_theta_pb_12_pe_.ltl	slower	UNREALIZABLE	2.253	UNREALIZABLE	2.569	+0.315
120	1	ordered-visits-choice-real.ltl	gain	UNKNOWN		REALIZABLE	0.045	
120	1	patrolling-alarm17.ltl	faster	UNREALIZABLE	0.477	UNREALIZABLE	0.415	-0.063
120	1	patrolling-alarm26.ltl	faster	UNREALIZABLE	0.826	UNREALIZABLE	0.761	-0.065
120	1	patrolling18.ltl	slower	UNREALIZABLE	0.486	UNREALIZABLE	0.544	+0.058
120	1	patrolling20.ltl	faster	UNREALIZABLE	0.619	UNREALIZABLE	0.551	-0.068
120	1	patrolling23.ltl	slower	UNREALIZABLE	0.660	UNREALIZABLE	0.745	+0.085
120	1	patrolling25.ltl	slower	UNREALIZABLE	0.720	UNREALIZABLE	0.778	+0.058
120	1	reversible-lane-r-real.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	1	robot-cat-real-1d-real.ltl	faster	REALIZABLE	2.693	REALIZABLE	2.225	-0.467
120	1	robot-grid-commute-1d-real.ltl	faster	REALIZABLE	2.027	REALIZABLE	1.833	-0.194
120	1	robot-grid-reach-repeated-with-obstacles-2d-real.ltl	faster	REALIZABLE	12.390	REALIZABLE	8.208	-4.183
120	1	robot-resource-2d17.ltl	slower	UNREALIZABLE	6.954	UNREALIZABLE	7.607	+0.653
120	1	robot-resource-2d19.ltl	faster	UNREALIZABLE	8.747	UNREALIZABLE	8.297	-0.450
120	1	robot-resource-2d9.ltl	faster	UNREALIZABLE	1.568	UNREALIZABLE	1.473	-0.094
120	1	robot-to-target-charging13.ltl	slower	UNREALIZABLE	65.508	UNREALIZABLE	69.946	+4.438
120	1	robot-to-target-charging14.ltl	loss	UNREALIZABLE	99.187	MEMOUT		
120	1	robot-to-target0.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	1	robot_collect_samples_v2-real.ltl	faster	REALIZABLE	62.120	REALIZABLE	54.168	-7.952
120	1	robot_grid_pb_3_3_pe_.ltl	slower	REALIZABLE	0.162	REALIZABLE	0.272	+0.110
120	1	robot_grid_pb_4_4_pe_.ltl	slower	REALIZABLE	1.387	REALIZABLE	1.783	+0.396
120	1	robot_grid_pb_5_5_pe_.ltl	gain	TIMEOUT		REALIZABLE	9.508	
120	1	robot_grid_pb_6_6_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	1	round_robin_arbiter_unreal1_pb_3_10_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	1	round_robin_arbiter_unreal1_pb_3_11_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	1	round_robin_arbiter_unreal1_pb_3_12_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	1	round_robin_arbiter_unreal1_pb_3_13_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	1	round_robin_arbiter_unreal1_pb_3_14_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	1	round_robin_arbiter_unreal1_pb_3_15_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	1	round_robin_arbiter_unreal1_pb_3_16_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	1	round_robin_arbiter_unreal1_pb_3_8_pe_.ltl	slower	UNREALIZABLE	60.728	UNREALIZABLE	64.043	+3.315
120	1	round_robin_arbiter_unreal1_pb_3_9_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	1	round_robin_arbiter_unreal1_pb_4_10_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	1	round_robin_arbiter_unreal1_pb_4_11_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	1	round_robin_arbiter_unreal1_pb_4_12_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	1	round_robin_arbiter_unreal1_pb_4_13_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	1	round_robin_arbiter_unreal1_pb_4_14_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	1	round_robin_arbiter_unreal1_pb_4_15_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	1	round_robin_arbiter_unreal1_pb_4_4_pe_.ltl	faster	UNREALIZABLE	1.931	UNREALIZABLE	1.707	-0.224
120	1	round_robin_arbiter_unreal1_pb_4_6_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	1	round_robin_arbiter_unreal1_pb_4_7_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	1	round_robin_arbiter_unreal1_pb_4_8_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	1	round_robin_arbiter_unreal1_pb_4_9_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	1	simple_arbiter_with_hints_pb_6_pe_.ltl	faster	REALIZABLE	2.167	REALIZABLE	1.939	-0.227
120	1	sort42.ltl	faster	UNREALIZABLE	15.238	UNREALIZABLE	13.660	-1.579
120	1	square5x5-real.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	1	square5x52.ltl	faster	UNREALIZABLE	1.438	UNREALIZABLE	1.363	-0.075
120	1	square5x53.ltl	slower	UNREALIZABLE	4.910	UNREALIZABLE	5.378	+0.468
120	1	taxi-service-real.ltl	faster	REALIZABLE	21.706	REALIZABLE	17.899	-3.807
120	1	thermostat-F-real.ltl	gain	TIMEOUT		REALIZABLE	1.468	
120	1	thermostat-GF-real.ltl	gain	TIMEOUT		REALIZABLE	46.179	
120	1	thermostat-GF-unreal0.ltl	slower	UNREALIZABLE	2.097	UNREALIZABLE	2.214	+0.117
120	1	tmp_13cfc6f2.ltl	slower	REALIZABLE	0.705	REALIZABLE	0.834	+0.129
120	2	06.ltl	faster	REALIZABLE	19.995	REALIZABLE	18.146	-1.848
120	2	07.ltl	slower	REALIZABLE	19.065	REALIZABLE	20.078	+1.013
120	2	10.ltl	slower	REALIZABLE	3.470	REALIZABLE	3.701	+0.231
120	2	11.ltl	faster	REALIZABLE	3.525	REALIZABLE	3.234	-0.291
120	2	AllLights_63831f8c.ltl	faster	UNREALIZABLE	1.726	UNREALIZABLE	1.633	-0.093
120	2	AllLights_aeb1d897.ltl	faster	UNREALIZABLE	2.696	UNREALIZABLE	2.495	-0.201
120	2	F-G-contradiction-110.ltl	faster	UNREALIZABLE	30.208	UNREALIZABLE	28.329	-1.879
120	2	F-G-contradiction-17.ltl	slower	UNREALIZABLE	9.869	UNREALIZABLE	10.780	+0.911
120	2	F-G-contradiction-19.ltl	faster	UNREALIZABLE	13.347	UNREALIZABLE	12.438	-0.909
120	2	GF-G-contradiction5.ltl	faster	UNREALIZABLE	2.372	UNREALIZABLE	2.152	-0.220
120	2	Morning2_407db2cc.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	2	OneCounter.ltl	slower	REALIZABLE	2.972	REALIZABLE	3.174	+0.203
120	2	SPIPureNext.ltl	gain	TIMEOUT		REALIZABLE	0.491	
120	2	TwoCounters3.ltl	faster	REALIZABLE	1.660	REALIZABLE	1.509	-0.151
120	2	amba_decomposed_arbiter_pb_6_pe_.ltl	faster	REALIZABLE	1.231	REALIZABLE	1.104	-0.128
120	2	amba_gr_pb_2_pe_.ltl	gain	TIMEOUT		REALIZABLE	58.060	
120	2	arbiter_on_inpchange_pb_4_pe_.ltl	slower	REALIZABLE	0.771	REALIZABLE	1.309	+0.538
120	2	arbiter_on_inpchange_pb_5_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	2	arbiter_on_inpchange_pb_6_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	2	arbiter_on_inpchange_pb_7_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	2	arbiter_with_buffer_pb_5_pe_.ltl	faster	REALIZABLE	0.945	REALIZABLE	0.853	-0.091
120	2	arbiter_with_cancel_pb_5_pe_.ltl	faster	REALIZABLE	1.205	REALIZABLE	1.125	-0.080
120	2	chain-simple-70-real.ltl	faster	REALIZABLE	1.176	REALIZABLE	1.103	-0.072
120	2	chain-simple-param-70-real.ltl	faster	REALIZABLE	1.259	REALIZABLE	1.128	-0.131
120	2	collector_v1_pb_9_pe_.ltl	faster	REALIZABLE	2.915	REALIZABLE	2.722	-0.193
120	2	collector_v2_pb_12_pe_.ltl	faster	REALIZABLE	0.843	REALIZABLE	0.759	-0.083
120	2	evasion-real.ltl	gain	TIMEOUT		REALIZABLE	23.272	
120	2	f-real-real.ltl	gain	TIMEOUT		REALIZABLE	32.577	
120	2	finding_nemo_pb_2_pe_.ltl	slower	REALIZABLE	4.570	REALIZABLE	4.851	+0.281
120	2	g-real-real.ltl	faster	REALIZABLE	4.104	REALIZABLE	2.762	-1.342
120	2	g-unreal-110.ltl	faster	UNREALIZABLE	2.690	UNREALIZABLE	2.377	-0.313
120	2	g-unreal-111.ltl	faster	UNREALIZABLE	4.353	UNREALIZABLE	3.998	-0.355
120	2	g-unreal-114.ltl	faster	UNREALIZABLE	11.755	UNREALIZABLE	11.049	-0.707
120	2	g-unreal-115.ltl	faster	UNREALIZABLE	18.956	UNREALIZABLE	16.702	-2.254
120	2	g-unreal-117.ltl	slower	UNREALIZABLE	46.261	UNREALIZABLE	49.920	+3.658
120	2	g-unreal-118.ltl	faster	UNREALIZABLE	68.269	UNREALIZABLE	64.595	-3.674
120	2	g-unreal-120.ltl	faster	UNREALIZABLE	104.074	UNREALIZABLE	94.186	-9.887
120	2	g-unreal-19.ltl	faster	UNREALIZABLE	2.138	UNREALIZABLE	1.983	-0.155
120	2	g-unreal-35.ltl	faster	UNREALIZABLE	1.076	UNREALIZABLE	1.016	-0.061
120	2	heim-buechi-real.ltl	slower	REALIZABLE	2.016	REALIZABLE	2.128	+0.112
120	2	heim-double-x-real.ltl	gain	TIMEOUT		REALIZABLE	0.396	
120	2	heim-double-x11.ltl	slower	UNREALIZABLE	2.561	UNREALIZABLE	2.803	+0.242
120	2	heim-double-x8.ltl	slower	UNREALIZABLE	0.991	UNREALIZABLE	1.151	+0.160
120	2	infinite-race-u14.ltl	slower	UNREALIZABLE	49.632	UNREALIZABLE	54.303	+4.672
120	2	infinite-race-u15.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	2	infinite-race-u16.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	2	infinite-race-u17.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	2	infinite-race-u18.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	2	infinite-race-u19.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	2	infinite-race-u20.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	2	infinite-race-u21.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	2	infinite-race-u22.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	2	infinite-race-u23.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	2	infinite-race-u24.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	2	infinite-race-u25.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	2	infinite-race-unequal-26.ltl	faster	UNREALIZABLE	62.924	UNREALIZABLE	58.770	-4.154
120	2	lift_gr1+_pb_3_pe_.ltl	slower	REALIZABLE	1.195	REALIZABLE	1.299	+0.105
120	2	lift_pb_3_pe_.ltl	slower	REALIZABLE	0.053	REALIZABLE	0.636	+0.583
120	2	lift_pb_4_pe_.ltl	loss	REALIZABLE	0.276	MEMOUT		
120	2	lift_pb_5_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	2	lift_pb_6_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	2	lift_unary_enc_pb_3_pe_.ltl	slower	REALIZABLE	0.073	REALIZABLE	0.703	+0.630
120	2	lift_unary_enc_pb_4_pe_.ltl	loss	REALIZABLE	9.831	MEMOUT		
120	2	lift_unary_enc_pb_5_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	2	lift_unary_enc_pb_6_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	2	lift_wrong_physics_unreal_pb_10_pe_.ltl	faster	UNREALIZABLE	1.228	UNREALIZABLE	1.095	-0.133
120	2	load_balancer_pb_7_pe_.ltl	slower	REALIZABLE	4.864	REALIZABLE	5.156	+0.292
120	2	load_balancer_unreal1_pb_2_15_pe_.ltl	slower	UNREALIZABLE	0.691	UNREALIZABLE	0.789	+0.098
120	2	load_balancer_unreal1_pb_2_16_pe_.ltl	slower	UNREALIZABLE	1.544	UNREALIZABLE	1.709	+0.165
120	2	load_balancer_unreal1_pb_4_10_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	2	load_balancer_unreal1_pb_4_11_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	2	load_balancer_unreal1_pb_4_12_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	2	load_balancer_unreal1_pb_4_6_pe_.ltl	slower	UNREALIZABLE	1.054	UNREALIZABLE	1.133	+0.079
120	2	load_balancer_unreal1_pb_4_7_pe_.ltl	slower	UNREALIZABLE	7.684	UNREALIZABLE	8.242	+0.558
120	2	load_balancer_unreal1_pb_4_8_pe_.ltl	slower	UNREALIZABLE	85.955	UNREALIZABLE	96.379	+10.424
120	2	load_balancer_unreal1_pb_5_4_pe_.ltl	faster	UNREALIZABLE	0.721	UNREALIZABLE	0.657	-0.064
120	2	load_balancer_unreal1_pb_5_5_pe_.ltl	slower	UNREALIZABLE	14.003	UNREALIZABLE	15.140	+1.137
120	2	load_balancer_unreal1_pb_6_3_pe_.ltl	slower	UNREALIZABLE	0.592	UNREALIZABLE	0.669	+0.077
120	2	load_balancer_unreal1_pb_6_4_pe_.ltl	slower	UNREALIZABLE	22.563	UNREALIZABLE	23.984	+1.422
120	2	ltl2dba_C2_unreal_pb_13_pe_.ltl	slower	UNREALIZABLE	1.221	UNREALIZABLE	1.282	+0.061
120	2	ordered-visits-choice-real.ltl	gain	UNKNOWN		REALIZABLE	0.041	
120	2	patrolling-alarm22.ltl	slower	UNREALIZABLE	0.596	UNREALIZABLE	0.657	+0.061
120	2	patrolling-alarm26.ltl	slower	UNREALIZABLE	0.773	UNREALIZABLE	0.875	+0.102
120	2	patrolling17.ltl	faster	UNREALIZABLE	0.492	UNREALIZABLE	0.403	-0.088
120	2	reversible-lane-r-real.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	2	robot-cat-real-1d-real.ltl	faster	REALIZABLE	2.553	REALIZABLE	2.197	-0.356
120	2	robot-grid-reach-2d-real.ltl	faster	REALIZABLE	2.945	REALIZABLE	2.733	-0.212
120	2	robot-grid-reach-repeated-with-obstacles-2d-real.ltl	faster	REALIZABLE	12.562	REALIZABLE	7.784	-4.778
120	2	robot-resource-2d14.ltl	faster	UNREALIZABLE	2.291	UNREALIZABLE	2.164	-0.126
120	2	robot-resource-2d15.ltl	slower	UNREALIZABLE	2.245	UNREALIZABLE	2.538	+0.293
120	2	robot-resource-2d19.ltl	faster	UNREALIZABLE	8.321	UNREALIZABLE	7.764	-0.557
120	2	robot-resource-2d21.ltl	slower	UNREALIZABLE	9.021	UNREALIZABLE	9.518	+0.497
120	2	robot-resource-2d8.ltl	faster	UNREALIZABLE	1.351	UNREALIZABLE	1.283	-0.068
120	2	robot-to-target-charging0.ltl	faster	UNREALIZABLE	0.967	UNREALIZABLE	0.890	-0.076
120	2	robot-to-target-charging5.ltl	slower	UNREALIZABLE	7.150	UNREALIZABLE	7.554	+0.404
120	2	robot-to-target0.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	2	robot_collect_samples_v2-real.ltl	faster	REALIZABLE	60.742	REALIZABLE	52.533	-8.209
120	2	robot_grid_pb_3_3_pe_.ltl	slower	REALIZABLE	0.153	REALIZABLE	0.269	+0.117
120	2	robot_grid_pb_4_4_pe_.ltl	slower	REALIZABLE	1.309	REALIZABLE	1.665	+0.357
120	2	robot_grid_pb_5_5_pe_.ltl	gain	TIMEOUT		REALIZABLE	9.402	
120	2	robot_grid_pb_6_6_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	2	round_robin_arbiter_unreal1_pb_3_10_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	2	round_robin_arbiter_unreal1_pb_3_11_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	2	round_robin_arbiter_unreal1_pb_3_12_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	2	round_robin_arbiter_unreal1_pb_3_13_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	2	round_robin_arbiter_unreal1_pb_3_14_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	2	round_robin_arbiter_unreal1_pb_3_15_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	2	round_robin_arbiter_unreal1_pb_3_16_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	2	round_robin_arbiter_unreal1_pb_3_9_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	2	round_robin_arbiter_unreal1_pb_4_10_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	2	round_robin_arbiter_unreal1_pb_4_11_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	2	round_robin_arbiter_unreal1_pb_4_12_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	2	round_robin_arbiter_unreal1_pb_4_13_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	2	round_robin_arbiter_unreal1_pb_4_14_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	2	round_robin_arbiter_unreal1_pb_4_15_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	2	round_robin_arbiter_unreal1_pb_4_4_pe_.ltl	faster	UNREALIZABLE	1.768	UNREALIZABLE	1.637	-0.131
120	2	round_robin_arbiter_unreal1_pb_4_6_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	2	round_robin_arbiter_unreal1_pb_4_7_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	2	round_robin_arbiter_unreal1_pb_4_8_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	2	round_robin_arbiter_unreal1_pb_4_9_pe_.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	2	square5x5-real.ltl	unsolved-kind-change	TIMEOUT		MEMOUT		
120	2	square5x52.ltl	slower	UNREALIZABLE	1.325	UNREALIZABLE	1.418	+0.093
120	2	square5x54.ltl	faster	UNREALIZABLE	7.459	UNREALIZABLE	6.746	-0.714
120	2	taxi-service-real.ltl	faster	REALIZABLE	20.507	REALIZABLE	17.645	-2.861
120	2	thermostat-F-real.ltl	gain	TIMEOUT		REALIZABLE	1.515	
120	2	thermostat-GF-real.ltl	gain	TIMEOUT		REALIZABLE	47.976	
120	2	thermostat-GF-unreal0.ltl	slower	UNREALIZABLE	2.032	UNREALIZABLE	2.139	+0.107
120	2	workstation_resupply_pb_2_pe_.ltl	faster	REALIZABLE	0.355	REALIZABLE	0.297	-0.057
17	1	03.ltl	faster	REALIZABLE	3.405	REALIZABLE	2.966	-0.439
17	1	GF-G-contradiction6.ltl	gain	TIMEOUT		UNREALIZABLE	16.283	
17	1	GF-G-contradiction7.ltl	loss	UNREALIZABLE	16.913	TIMEOUT		
