instance	n_result	n_seconds	b_epoch1_result	b_epoch1_seconds	b_epoch2_result	b_epoch2_seconds	change_vs_b_epoch1	b_epoch2_vs_epoch1	seconds_delta_vs_b_epoch1	memory_peak_delta_bytes	winner
arbiter_with_buffer_pb_9_pe_.ltl	REALIZABLE	9.089627365930937	TIMEOUT	17.0938515610178	TIMEOUT	17.08973121101735	gain	same			lifting
arbiter_with_cancel_pb_10_pe_.ltl	TIMEOUT	17.053730036946945	TIMEOUT	17.09388984501129	TIMEOUT	17.085702495998703	same	same			fallback-nonanswer
arbiter_with_cancel_pb_5_pe_.ltl	REALIZABLE	1.6373648709850386	REALIZABLE	1.19021432500449	REALIZABLE	1.1825979749846738	same	same	0.447151		lifting
arbiter_with_cancel_pb_6_pe_.ltl	REALIZABLE	2.0924512339988723	TIMEOUT	17.036049136018846	TIMEOUT	17.036613094998756	gain	same			lifting
arbiter_with_cancel_pb_7_pe_.ltl	REALIZABLE	2.884668502956629	TIMEOUT	17.053372721013147	TIMEOUT	17.048749891022453	gain	same			lifting
arbiter_with_cancel_pb_8_pe_.ltl	REALIZABLE	4.549720110022463	TIMEOUT	17.08978130898322	TIMEOUT	17.09104206599295	gain	same			lifting
arbiter_with_cancel_pb_9_pe_.ltl	REALIZABLE	8.723334383917972	TIMEOUT	17.08549180199043	TIMEOUT	17.094117169006495	gain	same			lifting
collector_v1_pb_11_pe_.ltl	TIMEOUT	17.037443010951392	TIMEOUT	17.036500574991805	TIMEOUT	17.036318998987554	same	same			fallback-nonanswer
collector_v1_pb_12_pe_.ltl	TIMEOUT	17.055034350021742	TIMEOUT	17.05348605598556	TIMEOUT	17.05356091199792	same	same			fallback-nonanswer
collector_v1_pb_13_pe_.ltl	TIMEOUT	17.054717320017517	TIMEOUT	17.093297841987805	TIMEOUT	17.085313568997663	same	same			fallback-nonanswer
collector_v1_pb_14_pe_.ltl	TIMEOUT	17.053067293949425	TIMEOUT	17.08629494399065	TIMEOUT	17.052988826006185	same	same			fallback-nonanswer
collector_v1_pb_15_pe_.ltl	TIMEOUT	17.053115825983696	TIMEOUT	17.0850034620089	TIMEOUT	17.09190502000274	same	same			fallback-nonanswer
collector_v1_pb_5_pe_.ltl	REALIZABLE	11.372318627079949	REALIZABLE	0.027118853002320975	REALIZABLE	0.02559075999306515	same	same	11.345200		B
collector_v1_pb_7_pe_.ltl	REALIZABLE	11.333387202001177	REALIZABLE	0.0987852860125713	REALIZABLE	0.10221683999407105	same	same	11.234602		B
collector_v1_pb_9_pe_.ltl	REALIZABLE	13.844744976959191	REALIZABLE	2.9410402109788265	REALIZABLE	2.8538887519971468	same	same	10.903705		B
load_balancer_pb_10_pe_.ltl	TIMEOUT	17.052627288969234	TIMEOUT	17.092106336000143	TIMEOUT	17.094313239998883	same	same			fallback-nonanswer
load_balancer_pb_11_pe_.ltl	TIMEOUT	17.052919380017556	TIMEOUT	17.05361841301783	TIMEOUT	17.093966273008846	same	same			fallback-nonanswer
load_balancer_pb_5_pe_.ltl	REALIZABLE	1.2948420669417828	REALIZABLE	0.13365639297990128	REALIZABLE	0.13135474899900146	same	same	1.161186		lifting
load_balancer_pb_6_pe_.ltl	REALIZABLE	1.6328772220294923	REALIZABLE	0.483532619982725	REALIZABLE	0.49853323501884006	same	same	1.149345		lifting
load_balancer_pb_7_pe_.ltl	REALIZABLE	2.3036562870256603	REALIZABLE	4.935504043009132	REALIZABLE	4.9880335349880625	same	same	-2.631848		lifting
load_balancer_pb_8_pe_.ltl	REALIZABLE	4.224023171002045	TIMEOUT	17.093394488008926	TIMEOUT	17.085506717994576	gain	same			lifting
load_balancer_pb_9_pe_.ltl	REALIZABLE	9.658244977006689	TIMEOUT	17.090702826011693	TIMEOUT	17.089623776992084	gain	same			lifting
load_balancer_unreal2_pb_2_pe_.ltl	REALIZABLE	0.4364892700687051	REALIZABLE	0.030204305017832667	REALIZABLE	0.02753407700220123	same	same	0.406285		lifting
load_balancer_unreal2_pb_3_pe_.ltl	UNREALIZABLE	0.574791121063754	UNREALIZABLE	0.04360086302040145	UNREALIZABLE	0.036711474996991456	same	same	0.531190		lifting
load_balancer_unreal2_pb_4_pe_.ltl	UNREALIZABLE	0.6277544220210984	UNREALIZABLE	0.13853664800990373	UNREALIZABLE	0.14751165299094282	same	same	0.489218		lifting
load_balancer_unreal2_pb_5_pe_.ltl	UNREALIZABLE	0.8820793769555166	UNREALIZABLE	12.723686696001096	UNREALIZABLE	11.608843835012522	same	same	-11.841607		lifting
load_balancer_unreal2_pb_6_pe_.ltl	UNREALIZABLE	2.223448608070612	TIMEOUT	17.05279730798793	TIMEOUT	17.053252676996635	gain	same			lifting
load_balancer_unreal2_pb_7_pe_.ltl	TIMEOUT	17.053026609006338	TIMEOUT	17.085155715001747	TIMEOUT	17.092182549997233	same	same			fallback-nonanswer
load_balancer_unreal2_pb_8_pe_.ltl	TIMEOUT	17.053138924995437	TIMEOUT	17.075311583001167	TIMEOUT	17.053531954996288	same	same			fallback-nonanswer
prioritized_arbiter_pb_10_pe_.ltl	REALIZABLE	1.0462050939677283	TIMEOUT	17.08020682600909	TIMEOUT	17.085192511003697	gain	same			lifting
prioritized_arbiter_pb_12_pe_.ltl	REALIZABLE	1.8966974960640073	TIMEOUT	17.09059109899681	TIMEOUT	17.08807982801227	gain	same			lifting
prioritized_arbiter_pb_5_pe_.ltl	REALIZABLE	0.8087143190205097	REALIZABLE	0.048571061983238906	REALIZABLE	0.04625439899973571	same	same	0.760143		lifting
prioritized_arbiter_pb_6_pe_.ltl	REALIZABLE	0.8427129979245365	REALIZABLE	0.38154885201947764	REALIZABLE	0.3915395429939963	same	same	0.461164		lifting
prioritized_arbiter_pb_7_pe_.ltl	REALIZABLE	0.8628298109397292	TIMEOUT	17.093176538008265	TIMEOUT	17.0935072049906	gain	same			lifting
prioritized_arbiter_pb_8_pe_.ltl	REALIZABLE	0.8986968559911475	TIMEOUT	17.084238486015238	TIMEOUT	17.084531903994502	gain	same			lifting
prioritized_arbiter_pb_9_pe_.ltl	REALIZABLE	0.9589558090083301	TIMEOUT	17.093439107004087	TIMEOUT	17.085274172015488	gain	same			lifting
prioritized_arbiter_unreal2_pb_100_pe_.ltl	TIMEOUT	17.042465865961276	TIMEOUT	17.09229743000469	TIMEOUT	17.096520523977233	same	same			fallback-nonanswer
prioritized_arbiter_unreal2_pb_10_pe_.ltl	UNREALIZABLE	5.550214611925185	UNREALIZABLE	0.027225636004004627	UNREALIZABLE	0.033415790006984025	same	same	5.522989		lifting
prioritized_arbiter_unreal2_pb_2_pe_.ltl	UNREALIZABLE	0.5403846330009401	UNREALIZABLE	0.0350167800206691	UNREALIZABLE	0.033540693984832615	same	same	0.505368		lifting
prioritized_arbiter_unreal2_pb_30_pe_.ltl	TIMEOUT	17.04341552092228	TIMEOUT	17.08667866900214	TIMEOUT	17.09265386298648	same	same			fallback-nonanswer
prioritized_arbiter_unreal2_pb_3_pe_.ltl	UNREALIZABLE	0.5287956560496241	UNREALIZABLE	0.024387885991018265	UNREALIZABLE	0.017029591981554404	same	same	0.504408		lifting
prioritized_arbiter_unreal2_pb_4_pe_.ltl	UNREALIZABLE	0.5466081770136952	UNREALIZABLE	0.016341504000592977	UNREALIZABLE	0.027546816010726616	same	same	0.530267		lifting
prioritized_arbiter_unreal2_pb_5_pe_.ltl	UNREALIZABLE	0.6009978930233046	UNREALIZABLE	0.021430713997688144	UNREALIZABLE	0.0489288599928841	same	same	0.579567		lifting
prioritized_arbiter_unreal2_pb_60_pe_.ltl	TIMEOUT	17.043855155003257	TIMEOUT	17.09014915599255	TIMEOUT	17.074116011994192	same	same			fallback-nonanswer
prioritized_arbiter_unreal2_pb_6_pe_.ltl	UNREALIZABLE	0.6272247330052778	UNREALIZABLE	0.019990264991065487	UNREALIZABLE	0.018734510987997055	same	same	0.607234		lifting
prioritized_arbiter_unreal2_pb_7_pe_.ltl	UNREALIZABLE	0.7394616850651801	UNREALIZABLE	0.025661461986601353	UNREALIZABLE	0.03530814201803878	same	same	0.713800		lifting
prioritized_arbiter_unreal2_pb_8_pe_.ltl	UNREALIZABLE	1.063400181941688	UNREALIZABLE	0.03867507301038131	UNREALIZABLE	0.019369530986296013	same	same	1.024725		lifting
round_robin_arbiter_unreal2_pb_2_pe_.ltl	UNREALIZABLE	0.5561022059991956	UNREALIZABLE	0.027153666014783084	UNREALIZABLE	0.03305269600241445	same	same	0.528949		lifting
round_robin_arbiter_unreal2_pb_3_pe_.ltl	UNREALIZABLE	0.6164898780407384	UNREALIZABLE	0.04556797901750542	UNREALIZABLE	0.03231256900471635	same	same	0.570922		lifting
round_robin_arbiter_unreal2_pb_4_pe_.ltl	UNREALIZABLE	0.9143671509809792	UNREALIZABLE	0.5210324130021036	UNREALIZABLE	0.5349994099815376	same	same	0.393335		lifting
round_robin_arbiter_unreal2_pb_5_pe_.ltl	UNREALIZABLE	2.088083595968783	TIMEOUT	17.085374287999002	TIMEOUT	17.088622960989596	gain	same			lifting
round_robin_arbiter_unreal2_pb_6_pe_.ltl	UNREALIZABLE	7.252327770926058	TIMEOUT	17.086217516014585	TIMEOUT	17.090633321990026	gain	same			lifting
round_robin_arbiter_unreal2_pb_7_pe_.ltl	TIMEOUT	17.05366482702084	TIMEOUT	17.09221430600155	TIMEOUT	17.084564903983846	same	same			fallback-nonanswer
simple_arbiter_with_hints_pb_10_pe_.ltl	TIMEOUT	17.18455681100022	TIMEOUT	17.188973737997003	TIMEOUT	17.188922339992132	same	same			fallback-nonanswer
simple_arbiter_with_hints_pb_12_pe_.ltl	TIMEOUT	17.08884704799857	TIMEOUT	17.087163621996297	TIMEOUT	17.092337078996934	same	same			fallback-nonanswer
simple_arbiter_with_hints_pb_15_pe_.ltl	TIMEOUT	17.09204509900883	TIMEOUT	17.093008691008436	TIMEOUT	17.092670059995726	same	same			fallback-nonanswer
simple_arbiter_with_hints_pb_8_pe_.ltl	TIMEOUT	17.054527328000404	TIMEOUT	17.037244267005008	TIMEOUT	17.02412478098995	same	same			fallback-nonanswer
