index	instance	family_key	label	build	expected	result	seconds	fallback_logged
229	robot-resource-2d21.ltl	direct:tlsf/sweap:robot-resource-2d	otf_mix_formula_lazy-race	otf_mix_formula_lazy	UNREALIZABLE	UNREALIZABLE	8.683053598040715	False
230	robot-resource-2d21.ltl	direct:tlsf/sweap:robot-resource-2d	otf_mix_formula_eager-race	otf_mix_formula_eager	UNREALIZABLE	UNREALIZABLE	8.023674397030845	False
231	robot-resource-2d21.ltl	direct:tlsf/sweap:robot-resource-2d	main-forward-unreal-formula	main-best_four_arm_contradiction	UNREALIZABLE	TIMEOUT	17.053991894994397	False
232	robot-resource-2d21.ltl	direct:tlsf/sweap:robot-resource-2d	sparse-unreal-formula	otf_sparse_formula	UNREALIZABLE	UNREALIZABLE	5.577802582003642	False
233	robot-resource-2d21.ltl	direct:tlsf/sweap:robot-resource-2d	main-forward-unreal-automaton	main-best_four_arm_contradiction	UNREALIZABLE	TIMEOUT	17.093156750954222	False
234	robot-resource-2d21.ltl	direct:tlsf/sweap:robot-resource-2d	sparse-unreal-automaton	otf_sparse_automaton	UNREALIZABLE	UNREALIZABLE	1.2249090030090883	False
235	robot-resource-2d22.ltl	direct:tlsf/sweap:robot-resource-2d	otf_sparse_automaton-race	otf_sparse_automaton	UNREALIZABLE	UNREALIZABLE	1.4859307130100206	False
236	robot-resource-2d22.ltl	direct:tlsf/sweap:robot-resource-2d	otf_sparse_formula-race	otf_sparse_formula	UNREALIZABLE	UNREALIZABLE	9.019301090040244	False
237	robot-resource-2d22.ltl	direct:tlsf/sweap:robot-resource-2d	otf_mix_formula_lazy-race	otf_mix_formula_lazy	UNREALIZABLE	UNREALIZABLE	9.499027643993031	False
238	robot-resource-2d22.ltl	direct:tlsf/sweap:robot-resource-2d	otf_mix_formula_eager-race	otf_mix_formula_eager	UNREALIZABLE	UNREALIZABLE	9.351047420001123	False
239	robot-resource-2d22.ltl	direct:tlsf/sweap:robot-resource-2d	main-forward-unreal-formula	main-best_four_arm_contradiction	UNREALIZABLE	TIMEOUT	17.053055302007124	False
240	robot-resource-2d22.ltl	direct:tlsf/sweap:robot-resource-2d	sparse-unreal-formula	otf_sparse_formula	UNREALIZABLE	UNREALIZABLE	6.044374467979651	False
241	robot-resource-2d22.ltl	direct:tlsf/sweap:robot-resource-2d	main-forward-unreal-automaton	main-best_four_arm_contradiction	UNREALIZABLE	TIMEOUT	17.053150432999246	False
242	robot-resource-2d22.ltl	direct:tlsf/sweap:robot-resource-2d	sparse-unreal-automaton	otf_sparse_automaton	UNREALIZABLE	UNREALIZABLE	1.175088029995095	False
243	robot-resource-2d23.ltl	direct:tlsf/sweap:robot-resource-2d	otf_sparse_automaton-race	otf_sparse_automaton	UNREALIZABLE	UNREALIZABLE	1.5067797839874402	False
244	robot-resource-2d23.ltl	direct:tlsf/sweap:robot-resource-2d	otf_sparse_formula-race	otf_sparse_formula	UNREALIZABLE	UNREALIZABLE	8.851410098955967	False
245	robot-resource-2d23.ltl	direct:tlsf/sweap:robot-resource-2d	otf_mix_formula_lazy-race	otf_mix_formula_lazy	UNREALIZABLE	UNREALIZABLE	9.68929027300328	False
246	robot-resource-2d23.ltl	direct:tlsf/sweap:robot-resource-2d	otf_mix_formula_eager-race	otf_mix_formula_eager	UNREALIZABLE	UNREALIZABLE	9.341009085008409	False
247	robot-resource-2d23.ltl	direct:tlsf/sweap:robot-resource-2d	main-forward-unreal-formula	main-best_four_arm_contradiction	UNREALIZABLE	TIMEOUT	17.05428021203261	False
248	robot-resource-2d23.ltl	direct:tlsf/sweap:robot-resource-2d	sparse-unreal-formula	otf_sparse_formula	UNREALIZABLE	UNREALIZABLE	6.145128499949351	False
249	robot-resource-2d23.ltl	direct:tlsf/sweap:robot-resource-2d	main-forward-unreal-automaton	main-best_four_arm_contradiction	UNREALIZABLE	TIMEOUT	17.05356989399297	False
250	robot-resource-2d23.ltl	direct:tlsf/sweap:robot-resource-2d	sparse-unreal-automaton	otf_sparse_automaton	UNREALIZABLE	UNREALIZABLE	1.1861224540043622	False
251	robot-resource-2d4.ltl	direct:tlsf/sweap:robot-resource-2d	otf_sparse_automaton-race	otf_sparse_automaton	UNREALIZABLE	UNREALIZABLE	0.24956135998945683	False
