instance,native_result,native_seconds,native_exit,converted_result,converted_seconds,converted_exit,comparison
ltl2dba_alpha_pb_12_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.006,0,MATCH
ltl2dba_alpha_pb_14_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.005,0,MATCH
ltl2dba_alpha_pb_16_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.005,0,MATCH
ltl2dba_alpha_pb_17_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.005,0,MATCH
ltl2dba_alpha_pb_18_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.005,0,MATCH
ltl2dba_alpha_pb_1_pe_.tlsf,REALIZABLE,0.004,0,REALIZABLE,0.005,0,MATCH
ltl2dba_alpha_pb_20_pe_.tlsf,REALIZABLE,0.004,0,REALIZABLE,0.004,0,MATCH
ltl2dba_alpha_pb_25_pe_.tlsf,REALIZABLE,0.004,0,REALIZABLE,0.004,0,MATCH
ltl2dba_alpha_pb_2_pe_.tlsf,REALIZABLE,0.004,0,REALIZABLE,0.004,0,MATCH
ltl2dba_alpha_pb_3_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.005,0,MATCH
ltl2dba_alpha_pb_4_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.005,0,MATCH
ltl2dba_alpha_pb_50_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.005,0,MATCH
ltl2dba_alpha_pb_5_pe_.tlsf,REALIZABLE,0.004,0,REALIZABLE,0.005,0,MATCH
ltl2dba_alpha_pb_6_pe_.tlsf,REALIZABLE,0.004,0,REALIZABLE,0.004,0,MATCH
ltl2dba_alpha_pb_7_pe_.tlsf,REALIZABLE,0.004,0,REALIZABLE,0.005,0,MATCH
ltl2dba_alpha_pb_8_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.004,0,MATCH
ltl2dba_beta_pb_100_pe_.tlsf,REALIZABLE,0.006,0,REALIZABLE,0.005,0,MATCH
ltl2dba_beta_pb_10_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.005,0,MATCH
ltl2dba_beta_pb_15_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.005,0,MATCH
ltl2dba_beta_pb_18_pe_.tlsf,REALIZABLE,0.004,0,REALIZABLE,0.004,0,MATCH
ltl2dba_beta_pb_1_pe_.tlsf,REALIZABLE,0.004,0,REALIZABLE,0.005,0,MATCH
ltl2dba_beta_pb_20_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.004,0,MATCH
ltl2dba_beta_pb_25_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.004,0,MATCH
ltl2dba_beta_pb_2_pe_.tlsf,REALIZABLE,0.004,0,REALIZABLE,0.005,0,MATCH
ltl2dba_beta_pb_30_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.005,0,MATCH
ltl2dba_beta_pb_3_pe_.tlsf,REALIZABLE,0.004,0,REALIZABLE,0.004,0,MATCH
ltl2dba_beta_pb_4_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.004,0,MATCH
ltl2dba_beta_pb_5_pe_.tlsf,REALIZABLE,0.004,0,REALIZABLE,0.005,0,MATCH
ltl2dba_beta_pb_6_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.005,0,MATCH
ltl2dba_beta_pb_7_pe_.tlsf,REALIZABLE,0.004,0,REALIZABLE,0.004,0,MATCH
ltl2dba_beta_pb_8_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.004,0,MATCH
ltl2dba_theta_pb_100_pe_.tlsf,TIMEOUT,17.042,124,TIMEOUT,17.042,124,MATCH
ltl2dba_theta_pb_10_pe_.tlsf,UNREALIZABLE,0.593,1,UNREALIZABLE,0.597,1,MATCH
ltl2dba_theta_pb_12_pe_.tlsf,UNREALIZABLE,3.256,1,UNREALIZABLE,3.263,1,MATCH
ltl2dba_theta_pb_14_pe_.tlsf,TIMEOUT,17.065,124,TIMEOUT,17.066,124,MATCH
ltl2dba_theta_pb_16_pe_.tlsf,TIMEOUT,17.045,124,TIMEOUT,17.045,124,MATCH
ltl2dba_theta_pb_1_pe_.tlsf,UNREALIZABLE,0.007,1,UNREALIZABLE,0.006,1,MATCH
ltl2dba_theta_pb_25_pe_.tlsf,TIMEOUT,17.045,124,TIMEOUT,17.043,124,MATCH
ltl2dba_theta_pb_2_pe_.tlsf,UNREALIZABLE,0.007,1,UNREALIZABLE,0.007,1,MATCH
ltl2dba_theta_pb_300_pe_.tlsf,TIMEOUT,17.046,124,TIMEOUT,17.045,124,MATCH
ltl2dba_theta_pb_3_pe_.tlsf,UNREALIZABLE,0.008,1,UNREALIZABLE,0.008,1,MATCH
ltl2dba_theta_pb_4_pe_.tlsf,UNREALIZABLE,0.010,1,UNREALIZABLE,0.010,1,MATCH
ltl2dba_theta_pb_500_pe_.tlsf,TIMEOUT,17.050,124,TIMEOUT,17.050,124,MATCH
ltl2dba_theta_pb_50_pe_.tlsf,TIMEOUT,17.044,124,TIMEOUT,17.043,124,MATCH
ltl2dba_theta_pb_5_pe_.tlsf,UNREALIZABLE,0.014,1,UNREALIZABLE,0.015,1,MATCH
ltl2dba_theta_pb_6_pe_.tlsf,UNREALIZABLE,0.027,1,UNREALIZABLE,0.029,1,MATCH
ltl2dba_theta_pb_7_pe_.tlsf,UNREALIZABLE,0.056,1,UNREALIZABLE,0.058,1,MATCH
ltl2dba_theta_pb_8_pe_.tlsf,UNREALIZABLE,0.115,1,UNREALIZABLE,0.113,1,MATCH
ltl2dpa01.tlsf,REALIZABLE,0.007,0,REALIZABLE,0.006,0,MATCH
ltl2dpa02.tlsf,REALIZABLE,0.004,0,REALIZABLE,0.005,0,MATCH
ltl2dpa03.tlsf,REALIZABLE,0.012,0,REALIZABLE,0.012,0,MATCH
ltl2dpa04.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.004,0,MATCH
ltl2dpa05.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.004,0,MATCH
ltl2dpa06.tlsf,REALIZABLE,0.004,0,REALIZABLE,0.004,0,MATCH
ltl2dpa07.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.004,0,MATCH
ltl2dpa08.tlsf,REALIZABLE,0.004,0,REALIZABLE,0.005,0,MATCH
ltl2dpa09.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.005,0,MATCH
ltl2dpa10.tlsf,REALIZABLE,0.009,0,REALIZABLE,0.009,0,MATCH
ltl2dpa11.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.005,0,MATCH
ltl2dpa12.tlsf,REALIZABLE,0.008,0,REALIZABLE,0.008,0,MATCH
ltl2dpa13.tlsf,REALIZABLE,0.719,0,REALIZABLE,0.668,0,MATCH
ltl2dpa14.tlsf,REALIZABLE,0.008,0,REALIZABLE,0.006,0,MATCH
ltl2dpa15.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.005,0,MATCH
ltl2dpa16.tlsf,REALIZABLE,0.004,0,REALIZABLE,0.004,0,MATCH
ltl2dpa17.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.005,0,MATCH
ltl2dpa18.tlsf,REALIZABLE,0.006,0,REALIZABLE,0.006,0,MATCH
ltl2dpa19.tlsf,REALIZABLE,1.557,0,REALIZABLE,1.512,0,MATCH
ltl2dpa20.tlsf,REALIZABLE,0.008,0,REALIZABLE,0.007,0,MATCH
ltl2dpa22.tlsf,REALIZABLE,0.084,0,REALIZABLE,0.079,0,MATCH
ltl2dpa23.tlsf,REALIZABLE,0.008,0,REALIZABLE,0.006,0,MATCH
ltl2dpa24.tlsf,REALIZABLE,0.006,0,REALIZABLE,0.006,0,MATCH
mux_pb_100_pe_.tlsf,REALIZABLE,0.009,0,REALIZABLE,0.006,0,MATCH
mux_pb_10_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.005,0,MATCH
mux_pb_125_pe_.tlsf,REALIZABLE,0.010,0,REALIZABLE,0.007,0,MATCH
mux_pb_12_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.006,0,MATCH
mux_pb_132_pe_.tlsf,REALIZABLE,0.012,0,REALIZABLE,0.007,0,MATCH
mux_pb_150_pe_.tlsf,REALIZABLE,0.012,0,REALIZABLE,0.007,0,MATCH
mux_pb_16_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.005,0,MATCH
mux_pb_175_pe_.tlsf,REALIZABLE,0.013,0,REALIZABLE,0.008,0,MATCH
mux_pb_200_pe_.tlsf,REALIZABLE,0.015,0,REALIZABLE,0.008,0,MATCH
mux_pb_32_pe_.tlsf,REALIZABLE,0.006,0,REALIZABLE,0.005,0,MATCH
mux_pb_64_pe_.tlsf,REALIZABLE,0.007,0,REALIZABLE,0.006,0,MATCH
mux_pb_8_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.004,0,MATCH
narylatch_pb_10_pe_.tlsf,REALIZABLE,0.008,0,REALIZABLE,0.008,0,MATCH
narylatch_pb_11_pe_.tlsf,REALIZABLE,0.008,0,REALIZABLE,0.008,0,MATCH
narylatch_pb_12_pe_.tlsf,REALIZABLE,0.008,0,REALIZABLE,0.008,0,MATCH
narylatch_pb_16_pe_.tlsf,REALIZABLE,0.009,0,REALIZABLE,0.010,0,MATCH
narylatch_pb_32_pe_.tlsf,REALIZABLE,0.014,0,REALIZABLE,0.014,0,MATCH
narylatch_pb_64_pe_.tlsf,REALIZABLE,0.022,0,REALIZABLE,0.025,0,MATCH
narylatch_pb_8_pe_.tlsf,REALIZABLE,0.008,0,REALIZABLE,0.008,0,MATCH
ordered-visits-choice-real.tlsf,UNKNOWN,7.826,2,UNKNOWN,7.588,2,MATCH
ordered-visits-real.tlsf,REALIZABLE,0.016,0,REALIZABLE,0.017,0,MATCH
package-delivery-real.tlsf,TIMEOUT,17.020,124,TIMEOUT,17.028,124,MATCH
patrolling-alarm0.tlsf,UNREALIZABLE,0.016,1,UNREALIZABLE,0.016,1,MATCH
patrolling-alarm1.tlsf,UNREALIZABLE,0.027,1,UNREALIZABLE,0.028,1,MATCH
patrolling-alarm10.tlsf,UNREALIZABLE,0.862,1,UNREALIZABLE,0.736,1,MATCH
patrolling-alarm11.tlsf,UNREALIZABLE,1.164,1,UNREALIZABLE,1.170,1,MATCH
patrolling-alarm12.tlsf,UNREALIZABLE,1.647,1,UNREALIZABLE,1.550,1,MATCH
patrolling-alarm13.tlsf,UNREALIZABLE,1.824,1,UNREALIZABLE,1.825,1,MATCH
patrolling-alarm14.tlsf,UNREALIZABLE,2.555,1,UNREALIZABLE,2.526,1,MATCH
patrolling-alarm15.tlsf,UNREALIZABLE,4.116,1,UNREALIZABLE,4.239,1,MATCH
patrolling-alarm16.tlsf,UNREALIZABLE,4.927,1,UNREALIZABLE,5.320,1,MATCH
patrolling-alarm17.tlsf,UNREALIZABLE,7.036,1,UNREALIZABLE,7.221,1,MATCH
patrolling-alarm18.tlsf,UNREALIZABLE,9.781,1,UNREALIZABLE,9.331,1,MATCH
patrolling-alarm19.tlsf,UNREALIZABLE,10.775,1,UNREALIZABLE,10.376,1,MATCH
patrolling-alarm2.tlsf,UNREALIZABLE,0.034,1,UNREALIZABLE,0.035,1,MATCH
patrolling-alarm20.tlsf,UNREALIZABLE,12.976,1,UNREALIZABLE,12.648,1,MATCH
patrolling-alarm21.tlsf,UNREALIZABLE,15.982,1,UNREALIZABLE,15.760,1,MATCH
patrolling-alarm22.tlsf,UNREALIZABLE,16.580,1,UNREALIZABLE,15.554,1,MATCH
patrolling-alarm23.tlsf,TIMEOUT,17.028,124,TIMEOUT,17.027,124,MATCH
patrolling-alarm24.tlsf,TIMEOUT,17.028,124,TIMEOUT,17.022,124,MATCH
patrolling-alarm25.tlsf,TIMEOUT,17.029,124,TIMEOUT,17.028,124,MATCH
patrolling-alarm26.tlsf,TIMEOUT,17.030,124,TIMEOUT,17.028,124,MATCH
patrolling-alarm3.tlsf,UNREALIZABLE,0.073,1,UNREALIZABLE,0.072,1,MATCH
patrolling-alarm4.tlsf,UNREALIZABLE,0.090,1,UNREALIZABLE,0.091,1,MATCH
patrolling-alarm5.tlsf,UNREALIZABLE,0.140,1,UNREALIZABLE,0.144,1,MATCH
patrolling-alarm6.tlsf,UNREALIZABLE,0.199,1,UNREALIZABLE,0.194,1,MATCH
patrolling-alarm7.tlsf,UNREALIZABLE,0.340,1,UNREALIZABLE,0.327,1,MATCH
patrolling-alarm8.tlsf,UNREALIZABLE,0.515,1,UNREALIZABLE,0.520,1,MATCH
patrolling-alarm9.tlsf,UNREALIZABLE,0.674,1,UNREALIZABLE,0.724,1,MATCH
patrolling0.tlsf,UNREALIZABLE,0.017,1,UNREALIZABLE,0.015,1,MATCH
patrolling1.tlsf,UNREALIZABLE,0.026,1,UNREALIZABLE,0.028,1,MATCH
patrolling10.tlsf,UNREALIZABLE,0.970,1,UNREALIZABLE,0.991,1,MATCH
patrolling11.tlsf,UNREALIZABLE,1.383,1,UNREALIZABLE,1.438,1,MATCH
patrolling12.tlsf,UNREALIZABLE,1.981,1,UNREALIZABLE,2.088,1,MATCH
patrolling13.tlsf,UNREALIZABLE,2.397,1,UNREALIZABLE,2.341,1,MATCH
patrolling14.tlsf,UNREALIZABLE,3.186,1,UNREALIZABLE,3.325,1,MATCH
patrolling15.tlsf,UNREALIZABLE,5.570,1,UNREALIZABLE,5.582,1,MATCH
patrolling16.tlsf,UNREALIZABLE,6.930,1,UNREALIZABLE,6.887,1,MATCH
patrolling17.tlsf,UNREALIZABLE,8.718,1,UNREALIZABLE,8.758,1,MATCH
patrolling18.tlsf,UNREALIZABLE,12.349,1,UNREALIZABLE,12.255,1,MATCH
patrolling19.tlsf,UNREALIZABLE,13.863,1,UNREALIZABLE,13.570,1,MATCH
patrolling2.tlsf,UNREALIZABLE,0.035,1,UNREALIZABLE,0.036,1,MATCH
patrolling20.tlsf,UNREALIZABLE,16.681,1,TIMEOUT,17.009,124,NATIVE_ONLY
patrolling21.tlsf,TIMEOUT,17.027,124,TIMEOUT,17.027,124,MATCH
patrolling22.tlsf,TIMEOUT,17.027,124,TIMEOUT,17.027,124,MATCH
patrolling23.tlsf,TIMEOUT,17.028,124,TIMEOUT,17.028,124,MATCH
patrolling24.tlsf,TIMEOUT,17.028,124,TIMEOUT,17.024,124,MATCH
patrolling25.tlsf,TIMEOUT,17.029,124,TIMEOUT,17.029,124,MATCH
patrolling3.tlsf,UNREALIZABLE,0.081,1,UNREALIZABLE,0.082,1,MATCH
patrolling4.tlsf,UNREALIZABLE,0.096,1,UNREALIZABLE,0.100,1,MATCH
patrolling5.tlsf,UNREALIZABLE,0.145,1,UNREALIZABLE,0.141,1,MATCH
patrolling6.tlsf,UNREALIZABLE,0.218,1,UNREALIZABLE,0.225,1,MATCH
patrolling7.tlsf,UNREALIZABLE,0.414,1,UNREALIZABLE,0.403,1,MATCH
patrolling8.tlsf,UNREALIZABLE,0.660,1,UNREALIZABLE,0.649,1,MATCH
patrolling9.tlsf,UNREALIZABLE,0.901,1,UNREALIZABLE,0.885,1,MATCH
precise-reachability-real.tlsf,REALIZABLE,0.155,0,REALIZABLE,0.160,0,MATCH
precise-reachability0.tlsf,UNREALIZABLE,0.011,1,UNREALIZABLE,0.011,1,MATCH
prioritized_arbiter_enc_pb_10_pe_.tlsf,TIMEOUT,17.025,124,TIMEOUT,17.009,124,MATCH
prioritized_arbiter_enc_pb_12_pe_.tlsf,TIMEOUT,17.040,124,TIMEOUT,17.027,124,MATCH
prioritized_arbiter_enc_pb_13_pe_.tlsf,TIMEOUT,17.029,124,TIMEOUT,17.029,124,MATCH
prioritized_arbiter_enc_pb_14_pe_.tlsf,TIMEOUT,17.031,124,TIMEOUT,17.031,124,MATCH
prioritized_arbiter_enc_pb_15_pe_.tlsf,TIMEOUT,17.033,124,TIMEOUT,17.033,124,MATCH
prioritized_arbiter_enc_pb_8_pe_.tlsf,TIMEOUT,17.054,124,TIMEOUT,17.055,124,MATCH
prioritized_arbiter_pb_10_pe_.tlsf,TIMEOUT,17.008,124,TIMEOUT,17.019,124,MATCH
prioritized_arbiter_pb_12_pe_.tlsf,TIMEOUT,17.021,124,TIMEOUT,17.021,124,MATCH
prioritized_arbiter_pb_1_pe_.tlsf,REALIZABLE,0.006,0,REALIZABLE,0.005,0,MATCH
prioritized_arbiter_pb_2_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.006,0,MATCH
prioritized_arbiter_pb_3_pe_.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.006,0,MATCH
prioritized_arbiter_pb_4_pe_.tlsf,REALIZABLE,0.006,0,REALIZABLE,0.007,0,MATCH
prioritized_arbiter_pb_5_pe_.tlsf,REALIZABLE,0.015,0,REALIZABLE,0.015,0,MATCH
prioritized_arbiter_pb_6_pe_.tlsf,REALIZABLE,1.803,0,REALIZABLE,1.864,0,MATCH
prioritized_arbiter_pb_7_pe_.tlsf,TIMEOUT,17.005,124,TIMEOUT,17.019,124,MATCH
prioritized_arbiter_pb_8_pe_.tlsf,TIMEOUT,17.019,124,TIMEOUT,17.018,124,MATCH
prioritized_arbiter_pb_9_pe_.tlsf,TIMEOUT,17.019,124,TIMEOUT,17.019,124,MATCH
prioritized_arbiter_unreal1_pb_2_10_pe_.tlsf,UNREALIZABLE,0.007,1,UNREALIZABLE,0.006,1,MATCH
prioritized_arbiter_unreal1_pb_2_11_pe_.tlsf,UNREALIZABLE,0.006,1,UNREALIZABLE,0.006,1,MATCH
prioritized_arbiter_unreal1_pb_2_12_pe_.tlsf,UNREALIZABLE,0.005,1,UNREALIZABLE,0.006,1,MATCH
prioritized_arbiter_unreal1_pb_2_13_pe_.tlsf,UNREALIZABLE,0.005,1,UNREALIZABLE,0.006,1,MATCH
prioritized_arbiter_unreal1_pb_2_14_pe_.tlsf,UNREALIZABLE,0.006,1,UNREALIZABLE,0.006,1,MATCH
prioritized_arbiter_unreal1_pb_2_15_pe_.tlsf,UNREALIZABLE,0.006,1,UNREALIZABLE,0.006,1,MATCH
prioritized_arbiter_unreal1_pb_2_16_pe_.tlsf,UNREALIZABLE,0.006,1,UNREALIZABLE,0.006,1,MATCH
prioritized_arbiter_unreal1_pb_2_1_pe_.tlsf,UNREALIZABLE,0.005,1,UNREALIZABLE,0.005,1,MATCH
prioritized_arbiter_unreal1_pb_2_2_pe_.tlsf,UNREALIZABLE,0.005,1,UNREALIZABLE,0.005,1,MATCH
prioritized_arbiter_unreal1_pb_2_3_pe_.tlsf,UNREALIZABLE,0.005,1,UNREALIZABLE,0.005,1,MATCH
prioritized_arbiter_unreal1_pb_2_4_pe_.tlsf,UNREALIZABLE,0.005,1,UNREALIZABLE,0.005,1,MATCH
prioritized_arbiter_unreal1_pb_2_5_pe_.tlsf,UNREALIZABLE,0.005,1,UNREALIZABLE,0.005,1,MATCH
prioritized_arbiter_unreal1_pb_2_6_pe_.tlsf,UNREALIZABLE,0.005,1,UNREALIZABLE,0.005,1,MATCH
prioritized_arbiter_unreal1_pb_2_7_pe_.tlsf,UNREALIZABLE,0.006,1,UNREALIZABLE,0.005,1,MATCH
prioritized_arbiter_unreal1_pb_2_8_pe_.tlsf,UNREALIZABLE,0.005,1,UNREALIZABLE,0.005,1,MATCH
prioritized_arbiter_unreal1_pb_2_9_pe_.tlsf,UNREALIZABLE,0.006,1,UNREALIZABLE,0.005,1,MATCH
prioritized_arbiter_unreal1_pb_3_10_pe_.tlsf,UNREALIZABLE,0.006,1,UNREALIZABLE,0.006,1,MATCH
prioritized_arbiter_unreal1_pb_3_11_pe_.tlsf,UNREALIZABLE,0.006,1,UNREALIZABLE,0.006,1,MATCH
prioritized_arbiter_unreal1_pb_3_12_pe_.tlsf,UNREALIZABLE,0.006,1,UNREALIZABLE,0.006,1,MATCH
prioritized_arbiter_unreal1_pb_3_13_pe_.tlsf,UNREALIZABLE,0.006,1,UNREALIZABLE,0.006,1,MATCH
prioritized_arbiter_unreal1_pb_3_14_pe_.tlsf,UNREALIZABLE,0.006,1,UNREALIZABLE,0.006,1,MATCH
prioritized_arbiter_unreal1_pb_3_15_pe_.tlsf,UNREALIZABLE,0.006,1,UNREALIZABLE,0.006,1,MATCH
prioritized_arbiter_unreal1_pb_3_16_pe_.tlsf,UNREALIZABLE,0.006,1,UNREALIZABLE,0.006,1,MATCH
prioritized_arbiter_unreal1_pb_3_1_pe_.tlsf,UNREALIZABLE,0.006,1,UNREALIZABLE,0.005,1,MATCH
prioritized_arbiter_unreal1_pb_3_2_pe_.tlsf,UNREALIZABLE,0.006,1,UNREALIZABLE,0.005,1,MATCH
prioritized_arbiter_unreal1_pb_3_3_pe_.tlsf,UNREALIZABLE,0.005,1,UNREALIZABLE,0.006,1,MATCH
prioritized_arbiter_unreal1_pb_3_4_pe_.tlsf,UNREALIZABLE,0.006,1,UNREALIZABLE,0.005,1,MATCH
prioritized_arbiter_unreal1_pb_3_5_pe_.tlsf,UNREALIZABLE,0.005,1,UNREALIZABLE,0.005,1,MATCH
prioritized_arbiter_unreal1_pb_3_6_pe_.tlsf,UNREALIZABLE,0.005,1,UNREALIZABLE,0.005,1,MATCH
prioritized_arbiter_unreal1_pb_3_7_pe_.tlsf,UNREALIZABLE,0.006,1,UNREALIZABLE,0.006,1,MATCH
prioritized_arbiter_unreal1_pb_3_8_pe_.tlsf,UNREALIZABLE,0.006,1,UNREALIZABLE,0.006,1,MATCH
prioritized_arbiter_unreal1_pb_3_9_pe_.tlsf,UNREALIZABLE,0.006,1,UNREALIZABLE,0.006,1,MATCH
prioritized_arbiter_unreal1_pb_4_10_pe_.tlsf,UNREALIZABLE,0.006,1,UNREALIZABLE,0.006,1,MATCH
prioritized_arbiter_unreal1_pb_4_11_pe_.tlsf,UNREALIZABLE,0.006,1,UNREALIZABLE,0.006,1,MATCH
prioritized_arbiter_unreal1_pb_4_12_pe_.tlsf,UNREALIZABLE,0.006,1,UNREALIZABLE,0.006,1,MATCH
prioritized_arbiter_unreal1_pb_4_13_pe_.tlsf,UNREALIZABLE,0.006,1,UNREALIZABLE,0.006,1,MATCH
prioritized_arbiter_unreal1_pb_4_14_pe_.tlsf,UNREALIZABLE,0.006,1,UNREALIZABLE,0.007,1,MATCH
prioritized_arbiter_unreal1_pb_4_15_pe_.tlsf,UNREALIZABLE,0.006,1,UNREALIZABLE,0.006,1,MATCH
prioritized_arbiter_unreal1_pb_4_16_pe_.tlsf,UNREALIZABLE,0.007,1,UNREALIZABLE,0.006,1,MATCH
prioritized_arbiter_unreal1_pb_4_1_pe_.tlsf,UNREALIZABLE,0.006,1,UNREALIZABLE,0.006,1,MATCH
prioritized_arbiter_unreal1_pb_4_2_pe_.tlsf,UNREALIZABLE,0.006,1,UNREALIZABLE,0.005,1,MATCH
prioritized_arbiter_unreal1_pb_4_3_pe_.tlsf,UNREALIZABLE,0.006,1,UNREALIZABLE,0.005,1,MATCH
prioritized_arbiter_unreal1_pb_4_4_pe_.tlsf,UNREALIZABLE,0.006,1,UNREALIZABLE,0.006,1,MATCH
prioritized_arbiter_unreal1_pb_4_5_pe_.tlsf,UNREALIZABLE,0.006,1,UNREALIZABLE,0.006,1,MATCH
prioritized_arbiter_unreal1_pb_4_6_pe_.tlsf,UNREALIZABLE,0.007,1,UNREALIZABLE,0.006,1,MATCH
prioritized_arbiter_unreal1_pb_4_7_pe_.tlsf,UNREALIZABLE,0.006,1,UNREALIZABLE,0.006,1,MATCH
prioritized_arbiter_unreal1_pb_4_8_pe_.tlsf,UNREALIZABLE,0.006,1,UNREALIZABLE,0.006,1,MATCH
prioritized_arbiter_unreal1_pb_4_9_pe_.tlsf,UNREALIZABLE,0.006,1,UNREALIZABLE,0.006,1,MATCH
prioritized_arbiter_unreal1_pb_5_16_pe_.tlsf,UNREALIZABLE,0.007,1,UNREALIZABLE,0.007,1,MATCH
prioritized_arbiter_unreal1_pb_5_2_pe_.tlsf,UNREALIZABLE,0.006,1,UNREALIZABLE,0.006,1,MATCH
prioritized_arbiter_unreal1_pb_5_32_pe_.tlsf,UNREALIZABLE,0.009,1,UNREALIZABLE,0.008,1,MATCH
prioritized_arbiter_unreal1_pb_5_4_pe_.tlsf,UNREALIZABLE,0.006,1,UNREALIZABLE,0.006,1,MATCH
prioritized_arbiter_unreal1_pb_6_16_pe_.tlsf,UNREALIZABLE,0.008,1,UNREALIZABLE,0.008,1,MATCH
prioritized_arbiter_unreal1_pb_6_2_pe_.tlsf,UNREALIZABLE,0.006,1,UNREALIZABLE,0.006,1,MATCH
prioritized_arbiter_unreal1_pb_6_32_pe_.tlsf,UNREALIZABLE,0.009,1,UNREALIZABLE,0.009,1,MATCH
prioritized_arbiter_unreal1_pb_6_4_pe_.tlsf,UNREALIZABLE,0.006,1,UNREALIZABLE,0.006,1,MATCH
prioritized_arbiter_unreal2_pb_100_pe_.tlsf,TIMEOUT,17.046,124,TIMEOUT,17.048,124,MATCH
prioritized_arbiter_unreal2_pb_10_pe_.tlsf,UNREALIZABLE,0.009,1,UNREALIZABLE,0.008,1,MATCH
prioritized_arbiter_unreal2_pb_2_pe_.tlsf,UNREALIZABLE,0.005,1,UNREALIZABLE,0.005,1,MATCH
prioritized_arbiter_unreal2_pb_30_pe_.tlsf,TIMEOUT,17.053,124,TIMEOUT,17.052,124,MATCH
prioritized_arbiter_unreal2_pb_3_pe_.tlsf,UNREALIZABLE,0.006,1,UNREALIZABLE,0.005,1,MATCH
prioritized_arbiter_unreal2_pb_4_pe_.tlsf,UNREALIZABLE,0.007,1,UNREALIZABLE,0.006,1,MATCH
prioritized_arbiter_unreal2_pb_5_pe_.tlsf,UNREALIZABLE,0.007,1,UNREALIZABLE,0.006,1,MATCH
prioritized_arbiter_unreal2_pb_60_pe_.tlsf,TIMEOUT,17.049,124,TIMEOUT,17.050,124,MATCH
prioritized_arbiter_unreal2_pb_6_pe_.tlsf,UNREALIZABLE,0.007,1,UNREALIZABLE,0.007,1,MATCH
prioritized_arbiter_unreal2_pb_7_pe_.tlsf,UNREALIZABLE,0.007,1,UNREALIZABLE,0.007,1,MATCH
prioritized_arbiter_unreal2_pb_8_pe_.tlsf,UNREALIZABLE,0.007,1,UNREALIZABLE,0.008,1,MATCH
reversible-lane-r-real.tlsf,TIMEOUT,17.032,124,TIMEOUT,17.034,124,MATCH
reversible-lane-u-unreal.tlsf,UNREALIZABLE,8.158,1,UNREALIZABLE,8.399,1,MATCH
reversible-lane-u0.tlsf,UNREALIZABLE,3.022,1,UNREALIZABLE,3.040,1,MATCH
reversible-lane-u1.tlsf,UNREALIZABLE,5.050,1,UNREALIZABLE,4.759,1,MATCH
robot-cat-real-1d-real.tlsf,REALIZABLE,5.530,0,REALIZABLE,5.145,0,MATCH
robot-cat-real-2d-real.tlsf,TIMEOUT,17.043,124,TIMEOUT,17.044,124,MATCH
robot-cat-unreal-1d-unreal.tlsf,UNREALIZABLE,2.526,1,UNREALIZABLE,2.651,1,MATCH
robot-cat-unreal-2d-unreal.tlsf,TIMEOUT,17.045,124,TIMEOUT,17.045,124,MATCH
robot-grid-commute-1d-real.tlsf,REALIZABLE,1.900,0,REALIZABLE,1.825,0,MATCH
robot-grid-commute-2d-real.tlsf,TIMEOUT,17.045,124,TIMEOUT,17.045,124,MATCH
robot-grid-reach-1d-real.tlsf,REALIZABLE,0.014,0,REALIZABLE,0.014,0,MATCH
robot-grid-reach-2d-real.tlsf,REALIZABLE,2.735,0,REALIZABLE,2.485,0,MATCH
robot-grid-reach-repeated-with-obstacles-1d-real.tlsf,REALIZABLE,0.022,0,REALIZABLE,0.024,0,MATCH
