revision	binary	backend	phase	repetition	cycles	perf_file
base	simd-bm	vector_backed	simd	5	2413061	/tmp/posets-step1-stack-g2-20260811/base-simd-bm-vector_backed-simd-r5.perf
candidate	downset-bm	vector_backed	build	1	259794071	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-vector_backed-build-r1.perf
candidate	downset-bm	vector_backed	build	2	259335019	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-vector_backed-build-r2.perf
candidate	downset-bm	vector_backed	build	3	259489545	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-vector_backed-build-r3.perf
candidate	downset-bm	vector_backed	build	4	261931304	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-vector_backed-build-r4.perf
candidate	downset-bm	vector_backed	build	5	265329515	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-vector_backed-build-r5.perf
candidate	downset-bm	vector_backed	query	1	137163223	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-vector_backed-query-r1.perf
candidate	downset-bm	vector_backed	query	2	129086978	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-vector_backed-query-r2.perf
candidate	downset-bm	vector_backed	query	3	128213220	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-vector_backed-query-r3.perf
candidate	downset-bm	vector_backed	query	4	128924660	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-vector_backed-query-r4.perf
candidate	downset-bm	vector_backed	query	5	128730041	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-vector_backed-query-r5.perf
candidate	downset-bm	vector_backed	transfer	1	19984288	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-vector_backed-transfer-r1.perf
candidate	downset-bm	vector_backed	transfer	2	19434822	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-vector_backed-transfer-r2.perf
candidate	downset-bm	vector_backed	transfer	3	19345573	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-vector_backed-transfer-r3.perf
candidate	downset-bm	vector_backed	transfer	4	19649440	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-vector_backed-transfer-r4.perf
candidate	downset-bm	vector_backed	transfer	5	19128771	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-vector_backed-transfer-r5.perf
candidate	downset-bm	vector_backed	intersection	1	492582707	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-vector_backed-intersection-r1.perf
candidate	downset-bm	vector_backed	intersection	2	492390702	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-vector_backed-intersection-r2.perf
candidate	downset-bm	vector_backed	intersection	3	492635903	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-vector_backed-intersection-r3.perf
candidate	downset-bm	vector_backed	intersection	4	493246356	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-vector_backed-intersection-r4.perf
candidate	downset-bm	vector_backed	intersection	5	493161519	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-vector_backed-intersection-r5.perf
candidate	downset-bm	vector_backed	union	1	247603408	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-vector_backed-union-r1.perf
candidate	downset-bm	vector_backed	union	2	246913579	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-vector_backed-union-r2.perf
candidate	downset-bm	vector_backed	union	3	246563686	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-vector_backed-union-r3.perf
candidate	downset-bm	vector_backed	union	4	249067149	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-vector_backed-union-r4.perf
candidate	downset-bm	vector_backed	union	5	248380761	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-vector_backed-union-r5.perf
candidate	downset-bm	vector_backed	cpre	1	1655686162	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-vector_backed-cpre-r1.perf
candidate	downset-bm	vector_backed	cpre	2	1668447213	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-vector_backed-cpre-r2.perf
candidate	downset-bm	vector_backed	cpre	3	1653779110	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-vector_backed-cpre-r3.perf
candidate	downset-bm	vector_backed	cpre	4	1655915953	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-vector_backed-cpre-r4.perf
candidate	downset-bm	vector_backed	cpre	5	1647648584	/tmp/posets-step1-stack-g2-20260811/candidate-downset-bm-vector_backed-cpre-r5.perf
