instance,category,real,n_ins,n_outs,acacia_result,acacia_time,ltlsynt_result,ltlsynt_time,slowdown
robot_grid8_8.ltl,acacia_only,?,12,5,OK,16.635,TIMEOUT,17.199,
round_robin_arbiter2.ltl,both_ok,real,2,2,OK,0.022,OK,0.02,1.1
round_robin_arbiter3.ltl,both_ok,real,3,3,OK,0.029,OK,0.022,1.3
round_robin_arbiter4.ltl,ltlsynt_only,real,4,4,TIMEOUT,17.031,OK,0.045,
round_robin_arbiter5.ltl,ltlsynt_only,real,5,5,TIMEOUT,17.03,OK,0.292,
round_robin_arbiter6.ltl,ltlsynt_only,real,6,6,TIMEOUT,17.089,OK,4.092,
round_robin_arbiter_unreal12_1.ltl,both_ok,unreal,2,2,OK,0.024,OK,0.023,1.0
round_robin_arbiter_unreal12_10.ltl,both_ok,unreal,2,2,OK,0.06,OK,0.055,1.1
round_robin_arbiter_unreal12_11.ltl,both_ok,unreal,2,2,OK,0.097,OK,0.083,1.2
round_robin_arbiter_unreal12_12.ltl,both_ok,unreal,2,2,OK,0.169,OK,0.146,1.2
round_robin_arbiter_unreal12_13.ltl,both_ok,unreal,2,2,OK,0.325,OK,0.282,1.2
round_robin_arbiter_unreal12_14.ltl,both_ok,unreal,2,2,OK,0.685,OK,0.58,1.2
round_robin_arbiter_unreal12_15.ltl,both_ok,unreal,2,2,OK,1.467,OK,1.247,1.2
round_robin_arbiter_unreal12_16.ltl,both_ok,unreal,2,2,OK,3.248,OK,2.839,1.1
round_robin_arbiter_unreal12_2.ltl,both_ok,unreal,2,2,OK,0.021,OK,0.019,1.1
round_robin_arbiter_unreal12_3.ltl,both_ok,unreal,2,2,OK,0.022,OK,0.018,1.2
round_robin_arbiter_unreal12_4.ltl,both_ok,unreal,2,2,OK,0.022,OK,0.019,1.1
round_robin_arbiter_unreal12_5.ltl,both_ok,unreal,2,2,OK,0.024,OK,0.019,1.3
round_robin_arbiter_unreal12_6.ltl,both_ok,unreal,2,2,OK,0.025,OK,0.02,1.2
round_robin_arbiter_unreal12_7.ltl,both_ok,unreal,2,2,OK,0.027,OK,0.023,1.2
round_robin_arbiter_unreal12_8.ltl,both_ok,unreal,2,2,OK,0.031,OK,0.026,1.2
round_robin_arbiter_unreal12_9.ltl,both_ok,unreal,2,2,OK,0.04,OK,0.036,1.1
round_robin_arbiter_unreal13_1.ltl,both_ok,unreal,3,3,OK,0.029,OK,0.028,1.0
round_robin_arbiter_unreal13_10.ltl,neither,?,3,3,TIMEOUT,17.057,TIMEOUT,17.041,
round_robin_arbiter_unreal13_2.ltl,both_ok,unreal,3,3,OK,0.029,OK,0.025,1.2
round_robin_arbiter_unreal13_3.ltl,both_ok,unreal,3,3,OK,0.034,OK,0.029,1.2
round_robin_arbiter_unreal13_4.ltl,both_ok,unreal,3,3,OK,0.059,OK,0.049,1.2
round_robin_arbiter_unreal13_5.ltl,both_ok,unreal,3,3,OK,0.212,OK,0.174,1.2
round_robin_arbiter_unreal13_6.ltl,both_ok,unreal,3,3,OK,1.26,OK,0.982,1.3
round_robin_arbiter_unreal13_7.ltl,both_ok,unreal,3,3,OK,9.174,OK,6.907,1.3
round_robin_arbiter_unreal13_8.ltl,neither,?,3,3,TIMEOUT,17.056,TIMEOUT,17.059,
round_robin_arbiter_unreal13_9.ltl,neither,?,3,3,TIMEOUT,17.06,TIMEOUT,17.061,
round_robin_arbiter_unreal14_1.ltl,both_ok,unreal,4,4,OK,0.049,OK,0.05,1.0
round_robin_arbiter_unreal14_2.ltl,both_ok,unreal,4,4,OK,0.079,OK,0.065,1.2
round_robin_arbiter_unreal14_3.ltl,both_ok,unreal,4,4,OK,0.189,OK,0.15,1.3
round_robin_arbiter_unreal14_4.ltl,both_ok,unreal,4,4,OK,2.136,OK,1.493,1.4
round_robin_arbiter_unreal14_5.ltl,neither,?,4,4,TIMEOUT,17.057,TIMEOUT,17.05,
round_robin_arbiter_unreal14_6.ltl,neither,?,4,4,TIMEOUT,17.059,TIMEOUT,17.055,
round_robin_arbiter_unreal14_7.ltl,neither,?,4,4,TIMEOUT,17.059,TIMEOUT,17.054,
round_robin_arbiter_unreal22.ltl,both_ok,unreal,2,2,OK,0.024,OK,0.023,1.1
round_robin_arbiter_unreal23.ltl,both_ok,unreal,3,3,OK,0.032,OK,0.034,1.0
round_robin_arbiter_unreal24.ltl,both_ok,unreal,4,4,OK,0.584,OK,1.169,0.5
round_robin_arbiter_unreal25.ltl,neither,?,5,5,TIMEOUT,17.059,TIMEOUT,17.038,
round_robin_arbiter_unreal28.ltl,neither,?,8,8,TIMEOUT,17.05,TIMEOUT,17.218,
rw_arbiter1.ltl,both_ok,real,2,2,OK,0.023,OK,0.023,1.0
rw_arbiter2.ltl,both_ok,real,4,4,OK,0.026,OK,0.036,0.7
rw_arbiter3.ltl,both_ok,real,6,6,OK,1.44,OK,0.936,1.5
rw_arbiter4.ltl,neither,?,8,8,TIMEOUT,17.052,TIMEOUT,17.031,
shift10.ltl,both_ok,real,10,10,OK,0.02,OK,0.017,1.2
shift100.ltl,both_ok,real,100,100,OK,0.027,OK,0.018,1.5
shift12.ltl,both_ok,real,12,12,OK,0.021,OK,0.016,1.3
shift125.ltl,both_ok,real,125,125,OK,0.029,OK,0.018,1.6
shift132.ltl,both_ok,real,132,132,OK,0.03,OK,0.017,1.7
shift16.ltl,both_ok,real,16,16,OK,0.022,OK,0.017,1.3
shift250.ltl,both_ok,real,250,250,OK,0.039,OK,0.022,1.8
shift32.ltl,both_ok,real,32,32,OK,0.024,OK,0.018,1.4
shift500.ltl,both_ok,real,500,500,OK,0.067,OK,0.024,2.8
shift64.ltl,both_ok,real,64,64,OK,0.028,OK,0.018,1.5
shift8.ltl,both_ok,real,8,8,OK,0.021,OK,0.016,1.3
simple_arbiter_enc10.ltl,ltlsynt_only,real,4,4,TIMEOUT,17.029,OK,8.755,
simple_arbiter_enc11.ltl,neither,?,4,4,TIMEOUT,17.038,TIMEOUT,17.049,
simple_arbiter_enc32.ltl,neither,?,5,6,TIMEOUT,17.049,TIMEOUT,17.045,
simple_arbiter_enc64.ltl,neither,?,6,7,TIMEOUT,17.035,TIMEOUT,17.041,
simple_arbiter_enc8.ltl,ltlsynt_only,real,3,4,TIMEOUT,17.032,OK,0.157,
simple_arbiter_unreal116_1.ltl,ltlsynt_only,unreal,16,16,TIMEOUT,17.049,OK,0.026,
simple_arbiter_unreal116_2.ltl,ltlsynt_only,unreal,16,16,TIMEOUT,17.049,OK,0.021,
simple_arbiter_unreal116_3.ltl,ltlsynt_only,unreal,16,16,TIMEOUT,17.034,OK,0.021,
simple_arbiter_unreal116_4.ltl,ltlsynt_only,unreal,16,16,TIMEOUT,17.048,OK,0.021,
simple_arbiter_unreal116_5.ltl,ltlsynt_only,unreal,16,16,TIMEOUT,17.047,OK,0.021,
simple_arbiter_unreal12_1.ltl,both_ok,unreal,2,2,OK,0.024,OK,0.017,1.4
simple_arbiter_unreal12_10.ltl,both_ok,unreal,2,2,OK,0.058,OK,0.017,3.3
simple_arbiter_unreal12_12.ltl,both_ok,unreal,2,2,OK,0.16,OK,0.016,10.0
simple_arbiter_unreal12_2.ltl,both_ok,unreal,2,2,OK,0.02,OK,0.016,1.2
simple_arbiter_unreal12_3.ltl,both_ok,unreal,2,2,OK,0.02,OK,0.017,1.2
simple_arbiter_unreal12_4.ltl,both_ok,unreal,2,2,OK,0.021,OK,0.016,1.3
