family	instance	parameters	mode	claim_scope	build_status	monitor_count	latch_count	solver_status	verdict	seconds	known_verdict	agreement	verification	verification_reason
prioritized_arbiter_unreal2	prioritized_arbiter_unreal2_pb_3_pe_.ltl	"{""n"": 3}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	12	32	exit-1	UNREALIZABLE	0.016046	UNREALIZABLE	agree	not-applicable	
prioritized_arbiter_unreal2	prioritized_arbiter_unreal2_pb_4_pe_.ltl	"{""n"": 4}"	exact	exact lowered objective	ok	17	48	exit-1	UNREALIZABLE	0.013865	UNREALIZABLE	agree	not-applicable	
prioritized_arbiter_unreal2	prioritized_arbiter_unreal2_pb_4_pe_.ltl	"{""n"": 4}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	17	48	exit-1	UNREALIZABLE	0.020442	UNREALIZABLE	agree	not-applicable	
robot_grid	robot_grid_pb_2_2_pe_.ltl	"{""xN"": 2, ""yN"": 2}"	exact	exact lowered objective	ok	11	93	exit-0	REALIZABLE	0.112998	REALIZABLE	agree	VERIFIED	
robot_grid	robot_grid_pb_2_2_pe_.ltl	"{""xN"": 2, ""yN"": 2}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	11	94	exit-0	REALIZABLE	0.062315	REALIZABLE	agree	VERIFIED	
round_robin_arbiter	round_robin_arbiter_pb_2_pe_.ltl	"{""n"": 2}"	exact	exact lowered objective	ok	9	22	exit-0	REALIZABLE	0.012584	REALIZABLE	agree	VERIFIED	
round_robin_arbiter	round_robin_arbiter_pb_2_pe_.ltl	"{""n"": 2}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	9	23	exit-0	REALIZABLE	0.012566	REALIZABLE	agree	VERIFIED	
round_robin_arbiter	round_robin_arbiter_pb_3_pe_.ltl	"{""n"": 3}"	exact	exact lowered objective	ok	13	32	exit-0	REALIZABLE	0.017852	REALIZABLE	agree	VERIFIED	
round_robin_arbiter	round_robin_arbiter_pb_3_pe_.ltl	"{""n"": 3}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	13	33	exit-0	REALIZABLE	0.019865	REALIZABLE	agree	VERIFIED	
round_robin_arbiter	round_robin_arbiter_pb_4_pe_.ltl	"{""n"": 4}"	exact	exact lowered objective	ok	17	42	exit-0	REALIZABLE	0.035858	REALIZABLE	agree	UNKNOWN(timeout)	explicit checker exceeded 60 s
round_robin_arbiter	round_robin_arbiter_pb_4_pe_.ltl	"{""n"": 4}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	17	43	exit-0	REALIZABLE	0.048710	REALIZABLE	agree	UNKNOWN(timeout)	explicit checker exceeded 60 s
round_robin_arbiter_unreal1	round_robin_arbiter_unreal1_pb_2_1_pe_.ltl	"{""n"": 2, ""u"": 1}"	exact	exact lowered objective	ok	10	25	exit-1	UNREALIZABLE	0.014510	UNREALIZABLE	agree	not-applicable	
round_robin_arbiter_unreal1	round_robin_arbiter_unreal1_pb_2_1_pe_.ltl	"{""n"": 2, ""u"": 1}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	10	26	exit-1	UNREALIZABLE	0.015482	UNREALIZABLE	agree	not-applicable	
round_robin_arbiter_unreal1	round_robin_arbiter_unreal1_pb_2_2_pe_.ltl	"{""n"": 2, ""u"": 2}"	exact	exact lowered objective	ok	10	27	exit-1	UNREALIZABLE	0.014969	UNREALIZABLE	agree	not-applicable	
round_robin_arbiter_unreal1	round_robin_arbiter_unreal1_pb_2_2_pe_.ltl	"{""n"": 2, ""u"": 2}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	10	28	exit-1	UNREALIZABLE	0.018341	UNREALIZABLE	agree	not-applicable	
round_robin_arbiter_unreal1	round_robin_arbiter_unreal1_pb_3_1_pe_.ltl	"{""n"": 3, ""u"": 1}"	exact	exact lowered objective	ok	16	41	exit-1	UNREALIZABLE	0.025062	UNREALIZABLE	agree	not-applicable	
round_robin_arbiter_unreal1	round_robin_arbiter_unreal1_pb_3_1_pe_.ltl	"{""n"": 3, ""u"": 1}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	16	42	exit-1	UNREALIZABLE	0.126608	UNREALIZABLE	agree	not-applicable	
round_robin_arbiter_unreal2	round_robin_arbiter_unreal2_pb_2_pe_.ltl	"{""n"": 2}"	exact	exact lowered objective	ok	10	26	exit-1	UNREALIZABLE	0.014530	UNREALIZABLE	agree	not-applicable	
round_robin_arbiter_unreal2	round_robin_arbiter_unreal2_pb_2_pe_.ltl	"{""n"": 2}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	10	27	exit-1	UNREALIZABLE	0.014761	UNREALIZABLE	agree	not-applicable	
round_robin_arbiter_unreal2	round_robin_arbiter_unreal2_pb_3_pe_.ltl	"{""n"": 3}"	exact	exact lowered objective	ok	16	44	exit-1	UNREALIZABLE	0.027631	UNREALIZABLE	agree	not-applicable	
round_robin_arbiter_unreal2	round_robin_arbiter_unreal2_pb_3_pe_.ltl	"{""n"": 3}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	16	45	exit-1	UNREALIZABLE	0.033732	UNREALIZABLE	agree	not-applicable	
round_robin_arbiter_unreal2	round_robin_arbiter_unreal2_pb_4_pe_.ltl	"{""n"": 4}"	exact	exact lowered objective	ok	23	66	exit-1	UNREALIZABLE	0.083080	UNREALIZABLE	agree	not-applicable	
round_robin_arbiter_unreal2	round_robin_arbiter_unreal2_pb_4_pe_.ltl	"{""n"": 4}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	23	67	exit-1	UNREALIZABLE	0.127774	UNREALIZABLE	agree	not-applicable	
rw_arbiter	rw_arbiter_pb_1_pe_.ltl	"{""n"": 1}"	exact	exact lowered objective	ok	10	27	exit-0	REALIZABLE	0.012525	REALIZABLE	agree	VERIFIED	
rw_arbiter	rw_arbiter_pb_1_pe_.ltl	"{""n"": 1}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	10	27	exit-0	REALIZABLE	0.012703	REALIZABLE	agree	VERIFIED	
rw_arbiter	rw_arbiter_pb_2_pe_.ltl	"{""n"": 2}"	exact	exact lowered objective	ok	20	54	exit-0	REALIZABLE	0.096967	REALIZABLE	agree	UNKNOWN(timeout)	explicit checker exceeded 60 s
rw_arbiter	rw_arbiter_pb_2_pe_.ltl	"{""n"": 2}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	20	54	exit-0	REALIZABLE	0.235355	REALIZABLE	agree	UNKNOWN(timeout)	explicit checker exceeded 60 s
rw_arbiter	rw_arbiter_pb_3_pe_.ltl	"{""n"": 3}"	exact	exact lowered objective	ok	29	79	exit-0	REALIZABLE	5.842631	REALIZABLE	agree	UNKNOWN(timeout)	explicit checker exceeded 60 s
rw_arbiter	rw_arbiter_pb_3_pe_.ltl	"{""n"": 3}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	29	79	exit-2	ERROR	21.980683	REALIZABLE	unknown	not-run	tlsfsolve: OxiDD solver failed
rw_arbiter	rw_arbiter_pb_4_pe_.ltl	"{""n"": 4}"	exact	exact lowered objective	ok	38	104	timeout	timeout	60.070371		no-known-verdict	not-run	
rw_arbiter	rw_arbiter_pb_4_pe_.ltl	"{""n"": 4}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	38	104	timeout	timeout	60.069586		no-known-verdict	not-run	
simple_arbiter_with_hints	simple_arbiter_with_hints_pb_2_pe_.ltl	"{""n"": 2}"	exact	exact lowered objective	ok	5	14	exit-0	REALIZABLE	0.011635	REALIZABLE	agree	VERIFIED	
simple_arbiter_with_hints	simple_arbiter_with_hints_pb_2_pe_.ltl	"{""n"": 2}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	5	14	exit-0	REALIZABLE	0.011035	REALIZABLE	agree	VERIFIED	
simple_arbiter_with_hints	simple_arbiter_with_hints_pb_4_pe_.ltl	"{""n"": 4}"	exact	exact lowered objective	ok	7	22	exit-0	REALIZABLE	0.020306	REALIZABLE	agree	VERIFIED	
simple_arbiter_with_hints	simple_arbiter_with_hints_pb_4_pe_.ltl	"{""n"": 4}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	7	22	exit-0	REALIZABLE	0.018158	REALIZABLE	agree	VERIFIED	
