family	instance	parameters	mode	claim_scope	build_status	monitor_count	latch_count	solver_status	verdict	seconds	known_verdict	agreement	verification	verification_reason
amba_case_study_unreal	amba_case_study_unreal_pb_2_pe_.ltl	"{""n"": 2}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	34	115	timeout	timeout	60.068379		no-known-verdict	not-run	
amba_case_study_unreal	amba_case_study_unreal_pb_3_pe_.ltl	"{""n"": 3}"	exact	exact lowered objective	ok	45	153	timeout	timeout	60.058064		no-known-verdict	not-run	
amba_case_study_unreal	amba_case_study_unreal_pb_3_pe_.ltl	"{""n"": 3}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	45	154	exit-2	ERROR	49.959389		no-known-verdict	not-run	tlsfsolve: OxiDD solver failed
amba_case_study_unreal	amba_case_study_unreal_pb_4_pe_.ltl	"{""n"": 4}"	exact	exact lowered objective	ok	55	193	timeout	timeout	60.071156		no-known-verdict	not-run	
amba_case_study_unreal	amba_case_study_unreal_pb_4_pe_.ltl	"{""n"": 4}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	55	194	exit-2	ERROR	1.468219		no-known-verdict	not-run	tlsfsolve: OxiDD solver failed
amba_decomposed_arbiter	amba_decomposed_arbiter_pb_2_pe_.ltl	"{""n"": 2}"	exact	exact lowered objective	ok	15	46	exit-0	REALIZABLE	0.017548	REALIZABLE	agree	VERIFIED	
amba_decomposed_arbiter	amba_decomposed_arbiter_pb_2_pe_.ltl	"{""n"": 2}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	15	47	exit-0	REALIZABLE	0.048591	REALIZABLE	agree	VERIFIED	
amba_decomposed_arbiter	amba_decomposed_arbiter_pb_3_pe_.ltl	"{""n"": 3}"	exact	exact lowered objective	ok	18	62	exit-0	REALIZABLE	0.028697	REALIZABLE	agree	VERIFIED	
amba_decomposed_arbiter	amba_decomposed_arbiter_pb_3_pe_.ltl	"{""n"": 3}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	18	63	exit-0	REALIZABLE	1.024229	REALIZABLE	agree	UNKNOWN(timeout)	explicit checker exceeded 60 s
amba_decomposed_arbiter	amba_decomposed_arbiter_pb_4_pe_.ltl	"{""n"": 4}"	exact	exact lowered objective	ok	21	86	exit-0	REALIZABLE	0.104818	REALIZABLE	agree	UNKNOWN(timeout)	explicit checker exceeded 60 s
amba_decomposed_arbiter	amba_decomposed_arbiter_pb_4_pe_.ltl	"{""n"": 4}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	21	87	exit-2	ERROR	16.473398	REALIZABLE	unknown	not-run	tlsfsolve: OxiDD solver failed
amba_decomposed_encode	amba_decomposed_encode_pb_2_pe_.ltl	"{""n"": 2}"	exact	exact lowered objective	ok	5	16	exit-0	REALIZABLE	0.011037	REALIZABLE	agree	VERIFIED	
amba_decomposed_encode	amba_decomposed_encode_pb_2_pe_.ltl	"{""n"": 2}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	5	17	exit-0	REALIZABLE	0.010934	REALIZABLE	agree	VERIFIED	
amba_decomposed_encode	amba_decomposed_encode_pb_3_pe_.ltl	"{""n"": 3}"	exact	exact lowered objective	ok	6	22	exit-0	REALIZABLE	0.013637	REALIZABLE	agree	VERIFIED	
amba_decomposed_encode	amba_decomposed_encode_pb_3_pe_.ltl	"{""n"": 3}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	6	23	exit-0	REALIZABLE	0.012047	REALIZABLE	agree	VERIFIED	
amba_decomposed_encode	amba_decomposed_encode_pb_4_pe_.ltl	"{""n"": 4}"	exact	exact lowered objective	ok	7	26	exit-0	REALIZABLE	0.013801	REALIZABLE	agree	VERIFIED	
amba_decomposed_encode	amba_decomposed_encode_pb_4_pe_.ltl	"{""n"": 4}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	7	27	exit-0	REALIZABLE	0.012341	REALIZABLE	agree	VERIFIED	
amba_decomposed_lock	amba_decomposed_lock_pb_2_pe_.ltl	"{""n"": 2}"	exact	exact lowered objective	ok	5	14	exit-0	REALIZABLE	0.011533	REALIZABLE	agree	VERIFIED	
amba_decomposed_lock	amba_decomposed_lock_pb_2_pe_.ltl	"{""n"": 2}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	5	15	exit-0	REALIZABLE	0.011984	REALIZABLE	agree	VERIFIED	
amba_decomposed_lock	amba_decomposed_lock_pb_3_pe_.ltl	"{""n"": 3}"	exact	exact lowered objective	ok	6	17	exit-0	REALIZABLE	0.011418	REALIZABLE	agree	VERIFIED	
