source	target	path	descent	paths	nodes	ratio	bdd_nodes
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	load_balancer_unreal1_pb_6_4_pe_.ltl	real	output	6528	6272	1.0408163265306123	68621
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	ltl2dba_C2_unreal_pb_16_pe_.ltl	real	input	65536	65536	1.0	1389305
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	ltl2dba_C2_unreal_pb_16_pe_.ltl	real	output	131072	131072	1.0	1389305
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	ltl2dba_C2_unreal_pb_16_pe_.ltl	unreal-formula	input	2	2	1.0	1499952
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	ltl2dba_C2_unreal_pb_16_pe_.ltl	unreal-formula	output	131072	131072	1.0	1499952
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	ltl2dba_theta_pb_14_pe_.ltl	real	input	49152	49152	1.0	1040074
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	ltl2dba_theta_pb_14_pe_.ltl	real	output	98304	98304	1.0	1040074
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	ltl2dba_theta_pb_14_pe_.ltl	unreal-formula	input	2	2	1.0	1050977
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	ltl2dba_theta_pb_14_pe_.ltl	unreal-formula	output	98304	98304	1.0	1050977
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	ltl2dba_theta_pb_16_pe_.ltl	real	input	196608	196608	1.0	4025782
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	ltl2dba_theta_pb_16_pe_.ltl	real	output	393216	393216	1.0	4025782
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	ltl2dba_theta_pb_16_pe_.ltl	unreal-formula	input	2	2	1.0	3854261
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	ltl2dba_theta_pb_16_pe_.ltl	unreal-formula	output	393216	393216	1.0	3854261
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	patrolling-alarm23.ltl	real	input	150	150	1.0	17029
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	patrolling-alarm23.ltl	real	output	1200	900	1.3333333333333333	17029
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	patrolling-alarm23.ltl	unreal-formula	input	8	6	1.3333333333333333	2376
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	patrolling-alarm23.ltl	unreal-formula	output	7524	2555	2.9448140900195696	2376
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	patrolling22.ltl	real	input	144	144	1.0	16413
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	patrolling22.ltl	real	output	1152	864	1.3333333333333333	16413
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	patrolling22.ltl	unreal-formula	input	8	6	1.3333333333333333	2277
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	patrolling22.ltl	unreal-formula	output	7968	2453	3.248267427639625	2277
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	prioritized_arbiter_pb_8_pe_.ltl	real	input	2	2	1.0	3891
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	prioritized_arbiter_pb_8_pe_.ltl	real	output	1024	1024	1.0	3891
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	prioritized_arbiter_pb_8_pe_.ltl	unreal-formula	input	46	11	4.181818181818182	498
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	prioritized_arbiter_pb_8_pe_.ltl	unreal-formula	output	92	22	4.181818181818182	498
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	robot-resource-2d1.ltl	real	input	300	237	1.2658227848101267	670875
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	robot-resource-2d1.ltl	real	output	552	345	1.6	670875
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	robot-resource-2d1.ltl	unreal-formula	input	8	4	2.0	23828
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	robot-resource-2d1.ltl	unreal-formula	output	89376	22650	3.945960264900662	23828
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	robot-to-target0.ltl	real	input	400	391	1.0230179028132993	322968
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	robot-to-target0.ltl	real	output	1225	811	1.5104808877928484	322968
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	round_robin_arbiter_pb_6_pe_.ltl	real	input	64	64	1.0	1403124
_bm-logs.alphabet-census-20260814/syntcomp25-fixpoint.csv	round_robin_arbiter_pb_6_pe_.ltl	real	output	4096	4096	1.0	1403124
