target,diag_index,diag_kind,checkpoint,wrapper_returncode,wrapper_timed_out,wrapper_stdout_bytes,wrapper_stderr_bytes,pid,instance,path,translation_pref,rsimp_ms,rsimp_changed,syntactic_bypass,syntactic_bypass_ms,translation_ms,aut_states,aut_edges,fast_class,fast_class_ms,fast_solve_ms,fast_verdict,preproc,preproc_ms,preproc_states_before,preproc_states_after,preproc_edges_before,preproc_edges_after,cap_census_ms,cap_k,cap_states_at_k,cap_states_finite,cap_states_zero,cap_counting_states,cap_finite_counting_states,simulation_census_ms,simulation_states_after,simulation_states_removed,bool_threshold,bitset_threshold,max_f,max_f_size,loops,k_attempts,cpre_ms,picker_ms,apply_ms,downset_ms,actions_seen,meets_computed,meet_batches,alphabet_input_paths,alphabet_input_nodes,alphabet_output_paths,alphabet_output_nodes,alphabet_bdd_nodes,equivariant,eq_clients,eq_blocks,eq_orbits,sym_families,sym_indices,sym_matrix,sym_subsets,sym_selected,sym_orbit_sizes,sym_blocks,sym_shared,solve_ms,total_ms,result,final_reason,source_format,tlsf_effective_target,tlsf_gr_level,tlsf_semantics,tlsf_target
amba_decomposed_lock16.ltl,1,final,final,124,1,0,8927,1144932,amba_decomposed_lock16.ltl,real,small,2,0,fallback,0,199,5,14,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2097152,4,4194304,8,393306,not-run,0,0,0,-,-,-,-,-,-,-,-,0,1082,unknown,alphabet-census-only,ltl,-,-1,-,-
amba_decomposed_lock16.ltl,2,progress,after-decomposition,124,1,0,8927,1144932,amba_decomposed_lock16.ltl,real,small,2,0,fallback,0,0,0,0,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not-run,0,0,0,-,-,-,-,-,-,-,-,0,2,unknown,unknown,ltl,-,-1,-,-
amba_decomposed_lock16.ltl,3,progress,after-rsimp,124,1,0,8927,1144932,amba_decomposed_lock16.ltl,real,small,2,0,not-run,0,0,0,0,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not-run,0,0,0,-,-,-,-,-,-,-,-,0,2,unknown,unknown,ltl,-,-1,-,-
amba_decomposed_lock16.ltl,4,progress,after-translation,124,1,0,8927,1144932,amba_decomposed_lock16.ltl,real,small,2,0,fallback,0,199,5,14,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not-run,0,0,0,-,-,-,-,-,-,-,-,0,202,unknown,unknown,ltl,-,-1,-,-
amba_decomposed_lock16.ltl,5,progress,alphabet-census,124,1,0,8927,1144932,amba_decomposed_lock16.ltl,real,small,2,0,fallback,0,199,5,14,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2097152,4,4194304,8,393306,not-run,0,0,0,-,-,-,-,-,-,-,-,0,1054,unknown,unknown,ltl,-,-1,-,-
amba_decomposed_lock16.ltl,6,progress,after-decomposition,124,1,0,8927,1144933,amba_decomposed_lock16.ltl,unreal-formula,small,2,0,fallback,0,0,0,0,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not-run,0,0,0,-,-,-,-,-,-,-,-,0,2,unknown,unknown,ltl,-,-1,-,-
amba_decomposed_lock16.ltl,7,progress,after-rsimp,124,1,0,8927,1144933,amba_decomposed_lock16.ltl,unreal-formula,small,2,0,not-run,0,0,0,0,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not-run,0,0,0,-,-,-,-,-,-,-,-,0,2,unknown,unknown,ltl,-,-1,-,-
arbiter_with_buffer6.ltl,1,final,final,124,1,0,8906,1145007,arbiter_with_buffer6.ltl,real,small,2,1,fallback,0,6,20,51,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,64,262144,262144,177267,not-run,0,0,0,-,-,-,-,-,-,-,-,0,138,unknown,alphabet-census-only,ltl,-,-1,-,-
arbiter_with_buffer6.ltl,2,progress,after-decomposition,124,1,0,8906,1145007,arbiter_with_buffer6.ltl,real,small,2,1,fallback,0,0,0,0,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not-run,0,0,0,-,-,-,-,-,-,-,-,0,2,unknown,unknown,ltl,-,-1,-,-
arbiter_with_buffer6.ltl,3,progress,after-rsimp,124,1,0,8906,1145007,arbiter_with_buffer6.ltl,real,small,2,1,not-run,0,0,0,0,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not-run,0,0,0,-,-,-,-,-,-,-,-,0,2,unknown,unknown,ltl,-,-1,-,-
arbiter_with_buffer6.ltl,4,progress,after-translation,124,1,0,8906,1145007,arbiter_with_buffer6.ltl,real,small,2,1,fallback,0,6,20,51,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not-run,0,0,0,-,-,-,-,-,-,-,-,0,9,unknown,unknown,ltl,-,-1,-,-
arbiter_with_buffer6.ltl,5,progress,alphabet-census,124,1,0,8906,1145007,arbiter_with_buffer6.ltl,real,small,2,1,fallback,0,6,20,51,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,64,262144,262144,177267,not-run,0,0,0,-,-,-,-,-,-,-,-,0,136,unknown,unknown,ltl,-,-1,-,-
arbiter_with_buffer6.ltl,6,progress,after-decomposition,124,1,0,8906,1145008,arbiter_with_buffer6.ltl,unreal-formula,small,2,1,fallback,0,0,0,0,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not-run,0,0,0,-,-,-,-,-,-,-,-,0,2,unknown,unknown,ltl,-,-1,-,-
arbiter_with_buffer6.ltl,7,progress,after-rsimp,124,1,0,8906,1145008,arbiter_with_buffer6.ltl,unreal-formula,small,2,1,not-run,0,0,0,0,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not-run,0,0,0,-,-,-,-,-,-,-,-,0,2,unknown,unknown,ltl,-,-1,-,-
detector_unreal16.ltl,1,final,final,2,0,0,12792,1145063,detector_unreal16.ltl,real,small,2,0,fallback,0,8266,54,277,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65536,65536,131072,131072,1389305,not-run,0,0,0,-,-,-,-,-,-,-,-,0,10189,unknown,alphabet-census-only,ltl,-,-1,-,-
detector_unreal16.ltl,2,final,final,2,0,0,12792,1145064,detector_unreal16.ltl,unreal-formula,small,2,0,fallback,0,23758,53,172,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,131072,131072,1499952,not-run,0,0,0,-,-,-,-,-,-,-,-,0,25249,unknown,alphabet-census-only,ltl,-,-1,-,-
detector_unreal16.ltl,3,progress,after-decomposition,2,0,0,12792,1145063,detector_unreal16.ltl,real,small,2,0,fallback,0,0,0,0,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not-run,0,0,0,-,-,-,-,-,-,-,-,0,3,unknown,unknown,ltl,-,-1,-,-
detector_unreal16.ltl,4,progress,after-rsimp,2,0,0,12792,1145063,detector_unreal16.ltl,real,small,2,0,not-run,0,0,0,0,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not-run,0,0,0,-,-,-,-,-,-,-,-,0,2,unknown,unknown,ltl,-,-1,-,-
detector_unreal16.ltl,5,progress,after-translation,2,0,0,12792,1145063,detector_unreal16.ltl,real,small,2,0,fallback,0,8266,54,277,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not-run,0,0,0,-,-,-,-,-,-,-,-,0,8269,unknown,unknown,ltl,-,-1,-,-
