cohort	instance	arm	c0_result	c0_seconds	c3_result	c3_seconds	delta_class	acacia_sha	binary_sha256_c0	binary_sha256_c3	preset	timestamp_utc	status
unreal-random	prioritized_arbiter_unreal1_pb_2_7_pe_.ltl	unreal-only	UNREALIZABLE	0.034	UNREALIZABLE	0.017	same	d75b84b06e818fd4f1c4b9f39600d608afe2b2a0	3c617abf741b5332da689eb5616d6e1aca717cf62ff1be8b8a5c1555ac1aeacb	9b5faac072e1c5745399fe338c0e862116bc132e935c1a28220bc0fde8e51dc1	best_decomp_rank_bucketed_semantic_mona_forward(+guarded)	2026-09-06T19:54:27.356538Z	complete
unreal-random	prioritized_arbiter_unreal1_pb_3_11_pe_.ltl	unreal-only	UNREALIZABLE	0.043	UNREALIZABLE	0.019	same	d75b84b06e818fd4f1c4b9f39600d608afe2b2a0	3c617abf741b5332da689eb5616d6e1aca717cf62ff1be8b8a5c1555ac1aeacb	9b5faac072e1c5745399fe338c0e862116bc132e935c1a28220bc0fde8e51dc1	best_decomp_rank_bucketed_semantic_mona_forward(+guarded)	2026-09-06T19:54:27.356538Z	complete
unreal-random	prioritized_arbiter_unreal1_pb_3_7_pe_.ltl	unreal-only	UNREALIZABLE	0.021	UNREALIZABLE	0.015	same	d75b84b06e818fd4f1c4b9f39600d608afe2b2a0	3c617abf741b5332da689eb5616d6e1aca717cf62ff1be8b8a5c1555ac1aeacb	9b5faac072e1c5745399fe338c0e862116bc132e935c1a28220bc0fde8e51dc1	best_decomp_rank_bucketed_semantic_mona_forward(+guarded)	2026-09-06T19:54:27.356538Z	complete
unreal-random	prioritized_arbiter_unreal1_pb_4_15_pe_.ltl	unreal-only	UNREALIZABLE	0.039	UNREALIZABLE	0.016	same	d75b84b06e818fd4f1c4b9f39600d608afe2b2a0	3c617abf741b5332da689eb5616d6e1aca717cf62ff1be8b8a5c1555ac1aeacb	9b5faac072e1c5745399fe338c0e862116bc132e935c1a28220bc0fde8e51dc1	best_decomp_rank_bucketed_semantic_mona_forward(+guarded)	2026-09-06T19:54:27.356538Z	complete
unreal-random	round_robin_arbiter_unreal1_pb_2_11_pe_.ltl	unreal-only	UNREALIZABLE	0.118	UNREALIZABLE	0.102	same	d75b84b06e818fd4f1c4b9f39600d608afe2b2a0	3c617abf741b5332da689eb5616d6e1aca717cf62ff1be8b8a5c1555ac1aeacb	9b5faac072e1c5745399fe338c0e862116bc132e935c1a28220bc0fde8e51dc1	best_decomp_rank_bucketed_semantic_mona_forward(+guarded)	2026-09-06T19:54:27.356538Z	complete
unreal-random	simple_arbiter_unreal1_pb_16_5_pe_.ltl	unreal-only	UNREALIZABLE	0.022	UNREALIZABLE	0.029	same	d75b84b06e818fd4f1c4b9f39600d608afe2b2a0	3c617abf741b5332da689eb5616d6e1aca717cf62ff1be8b8a5c1555ac1aeacb	9b5faac072e1c5745399fe338c0e862116bc132e935c1a28220bc0fde8e51dc1	best_decomp_rank_bucketed_semantic_mona_forward(+guarded)	2026-09-06T19:54:27.356538Z	complete
unreal-random	simple_arbiter_unreal1_pb_4_12_pe_.ltl	unreal-only	UNREALIZABLE	0.023	UNREALIZABLE	0.030	same	d75b84b06e818fd4f1c4b9f39600d608afe2b2a0	3c617abf741b5332da689eb5616d6e1aca717cf62ff1be8b8a5c1555ac1aeacb	9b5faac072e1c5745399fe338c0e862116bc132e935c1a28220bc0fde8e51dc1	best_decomp_rank_bucketed_semantic_mona_forward(+guarded)	2026-09-06T19:54:27.356538Z	complete
unreal-random	simple_arbiter_unreal1_pb_4_1_pe_.ltl	unreal-only	UNREALIZABLE	0.036	UNREALIZABLE	0.034	same	d75b84b06e818fd4f1c4b9f39600d608afe2b2a0	3c617abf741b5332da689eb5616d6e1aca717cf62ff1be8b8a5c1555ac1aeacb	9b5faac072e1c5745399fe338c0e862116bc132e935c1a28220bc0fde8e51dc1	best_decomp_rank_bucketed_semantic_mona_forward(+guarded)	2026-09-06T19:54:27.356538Z	complete
unreal-random	simple_arbiter_unreal1_pb_5_9_pe_.ltl	unreal-only	UNREALIZABLE	0.039	UNREALIZABLE	0.042	same	d75b84b06e818fd4f1c4b9f39600d608afe2b2a0	3c617abf741b5332da689eb5616d6e1aca717cf62ff1be8b8a5c1555ac1aeacb	9b5faac072e1c5745399fe338c0e862116bc132e935c1a28220bc0fde8e51dc1	best_decomp_rank_bucketed_semantic_mona_forward(+guarded)	2026-09-06T19:54:27.356538Z	complete
unreal-random	test4_4b82b1f4.ltl	unreal-only	UNREALIZABLE	0.038	UNREALIZABLE	0.036	same	d75b84b06e818fd4f1c4b9f39600d608afe2b2a0	3c617abf741b5332da689eb5616d6e1aca717cf62ff1be8b8a5c1555ac1aeacb	9b5faac072e1c5745399fe338c0e862116bc132e935c1a28220bc0fde8e51dc1	best_decomp_rank_bucketed_semantic_mona_forward(+guarded)	2026-09-06T19:54:27.356538Z	complete
unreal-random	test9_dd3a27e1.ltl	unreal-only	UNREALIZABLE	0.019	UNREALIZABLE	0.039	same	d75b84b06e818fd4f1c4b9f39600d608afe2b2a0	3c617abf741b5332da689eb5616d6e1aca717cf62ff1be8b8a5c1555ac1aeacb	9b5faac072e1c5745399fe338c0e862116bc132e935c1a28220bc0fde8e51dc1	best_decomp_rank_bucketed_semantic_mona_forward(+guarded)	2026-09-06T19:54:27.356538Z	complete
unreal-hard	full_arbiter_unreal1_pb_2_18_pe_.ltl	unreal-only	TIMEOUT	17.085	TIMEOUT	17.079	neither	d75b84b06e818fd4f1c4b9f39600d608afe2b2a0	3c617abf741b5332da689eb5616d6e1aca717cf62ff1be8b8a5c1555ac1aeacb	9b5faac072e1c5745399fe338c0e862116bc132e935c1a28220bc0fde8e51dc1	best_decomp_rank_bucketed_semantic_mona_forward(+guarded)	2026-09-06T19:54:27.356538Z	complete
unreal-hard	full_arbiter_unreal1_pb_2_20_pe_.ltl	unreal-only	TIMEOUT	17.086	TIMEOUT	17.085	neither	d75b84b06e818fd4f1c4b9f39600d608afe2b2a0	3c617abf741b5332da689eb5616d6e1aca717cf62ff1be8b8a5c1555ac1aeacb	9b5faac072e1c5745399fe338c0e862116bc132e935c1a28220bc0fde8e51dc1	best_decomp_rank_bucketed_semantic_mona_forward(+guarded)	2026-09-06T19:54:27.356538Z	complete
unreal-hard	full_arbiter_unreal1_pb_2_21_pe_.ltl	unreal-only	TIMEOUT	17.076	TIMEOUT	17.077	neither	d75b84b06e818fd4f1c4b9f39600d608afe2b2a0	3c617abf741b5332da689eb5616d6e1aca717cf62ff1be8b8a5c1555ac1aeacb	9b5faac072e1c5745399fe338c0e862116bc132e935c1a28220bc0fde8e51dc1	best_decomp_rank_bucketed_semantic_mona_forward(+guarded)	2026-09-06T19:54:27.356538Z	complete
unreal-hard	full_arbiter_unreal1_pb_2_22_pe_.ltl	unreal-only	TIMEOUT	17.086	TIMEOUT	17.086	neither	d75b84b06e818fd4f1c4b9f39600d608afe2b2a0	3c617abf741b5332da689eb5616d6e1aca717cf62ff1be8b8a5c1555ac1aeacb	9b5faac072e1c5745399fe338c0e862116bc132e935c1a28220bc0fde8e51dc1	best_decomp_rank_bucketed_semantic_mona_forward(+guarded)	2026-09-06T19:54:27.356538Z	complete
unreal-hard	full_arbiter_unreal1_pb_2_24_pe_.ltl	unreal-only	TIMEOUT	17.070	TIMEOUT	17.085	neither	d75b84b06e818fd4f1c4b9f39600d608afe2b2a0	3c617abf741b5332da689eb5616d6e1aca717cf62ff1be8b8a5c1555ac1aeacb	9b5faac072e1c5745399fe338c0e862116bc132e935c1a28220bc0fde8e51dc1	best_decomp_rank_bucketed_semantic_mona_forward(+guarded)	2026-09-06T19:54:27.356538Z	complete
unreal-hard	full_arbiter_unreal1_pb_2_26_pe_.ltl	unreal-only	TIMEOUT	17.073	TIMEOUT	17.085	neither	d75b84b06e818fd4f1c4b9f39600d608afe2b2a0	3c617abf741b5332da689eb5616d6e1aca717cf62ff1be8b8a5c1555ac1aeacb	9b5faac072e1c5745399fe338c0e862116bc132e935c1a28220bc0fde8e51dc1	best_decomp_rank_bucketed_semantic_mona_forward(+guarded)	2026-09-06T19:54:27.356538Z	complete
