family_key	solved_instance	solved_params_json	solved_seconds	unsolved_instance	unsolved_params_json	unsolved_failure	pair_kind	l1_distance
param:tlsf/lift/parametric/lift_unary_enc.tlsf	lift_unary_enc_pb_3_pe_.ltl	"{""n"":3}"	4.529931035009213	lift_unary_enc_pb_4_pe_.ltl	"{""n"":4}"	TIMEOUT	cover	0.2
param:tlsf/load_balancer/parametric/load_balancer.tlsf	load_balancer_pb_7_pe_.ltl	"{""n"":7}"	5.385427915956825	load_balancer_pb_8_pe_.ltl	"{""n"":8}"	TIMEOUT	cover	0.1111111111111111111111111111
param:tlsf/load_balancer_unreal/parametric/load_balancer_unreal1.tlsf	load_balancer_unreal1_pb_3_10_pe_.ltl	"{""n"":3,""u"":10}"	0.14200824301224202	load_balancer_unreal1_pb_4_10_pe_.ltl	"{""n"":4,""u"":10}"	TIMEOUT	cover	0.25
param:tlsf/load_balancer_unreal/parametric/load_balancer_unreal1.tlsf	load_balancer_unreal1_pb_3_11_pe_.ltl	"{""n"":3,""u"":11}"	0.27232529199682176	load_balancer_unreal1_pb_4_11_pe_.ltl	"{""n"":4,""u"":11}"	TIMEOUT	cover	0.25
param:tlsf/load_balancer_unreal/parametric/load_balancer_unreal1.tlsf	load_balancer_unreal1_pb_3_12_pe_.ltl	"{""n"":3,""u"":12}"	0.5731185000622645	load_balancer_unreal1_pb_4_12_pe_.ltl	"{""n"":4,""u"":12}"	TIMEOUT	cover	0.25
param:tlsf/load_balancer_unreal/parametric/load_balancer_unreal1.tlsf	load_balancer_unreal1_pb_3_8_pe_.ltl	"{""n"":3,""u"":8}"	0.045859429985284805	load_balancer_unreal1_pb_4_8_pe_.ltl	"{""n"":4,""u"":8}"	TIMEOUT	cover	0.25
param:tlsf/load_balancer_unreal/parametric/load_balancer_unreal1.tlsf	load_balancer_unreal1_pb_4_7_pe_.ltl	"{""n"":4,""u"":7}"	7.421917250961997	load_balancer_unreal1_pb_4_8_pe_.ltl	"{""n"":4,""u"":8}"	TIMEOUT	cover	0.06666666666666666666666666667
param:tlsf/load_balancer_unreal/parametric/load_balancer_unreal1.tlsf	load_balancer_unreal1_pb_3_9_pe_.ltl	"{""n"":3,""u"":9}"	0.08065850706771016	load_balancer_unreal1_pb_4_9_pe_.ltl	"{""n"":4,""u"":9}"	TIMEOUT	cover	0.25
param:tlsf/load_balancer_unreal/parametric/load_balancer_unreal1.tlsf	load_balancer_unreal1_pb_4_6_pe_.ltl	"{""n"":4,""u"":6}"	1.012876237044111	load_balancer_unreal1_pb_5_6_pe_.ltl	"{""n"":5,""u"":6}"	TIMEOUT	cover	0.25
param:tlsf/load_balancer_unreal/parametric/load_balancer_unreal1.tlsf	load_balancer_unreal1_pb_5_5_pe_.ltl	"{""n"":5,""u"":5}"	13.392795808031224	load_balancer_unreal1_pb_5_6_pe_.ltl	"{""n"":5,""u"":6}"	TIMEOUT	cover	0.06666666666666666666666666667
param:tlsf/load_balancer_unreal/parametric/load_balancer_unreal1.tlsf	load_balancer_unreal1_pb_4_7_pe_.ltl	"{""n"":4,""u"":7}"	7.421917250961997	load_balancer_unreal1_pb_5_7_pe_.ltl	"{""n"":5,""u"":7}"	TIMEOUT	cover	0.25
