rank	score	instance	tlsf_file	family_key	family_display	origin_kind	parameter_values_json	parameter_dimension	tlsf_bytes	expectation	unsolved_result	failure_kind	neighbour_instance	neighbour_params_json	neighbour_seconds	neighbour_result	pair_kind	score_breakdown
11	40	collector_v1_pb_11_pe_.ltl	collector_v1_pb_11_pe_.tlsf	param:tlsf/collector/parametric/collector_v1.tlsf	collector_v1	param	"{""n"": 11}"	1	492	realizable	TIMEOUT	time_limit	collector_v1_pb_9_pe_.ltl	"{""n"":9}"	2.7098509030183777	REALIZABLE	cover	minimal+12,unsolved60+10,nbr5s+8,family3+6,tlsf20k+4
12	40	collector_v3_pb_9_pe_.ltl	collector_v3_pb_9_pe_.tlsf	param:tlsf/collector/parametric/collector_v3.tlsf	collector_v3	param	"{""n"": 9}"	1	566	realizable	TIMEOUT	time_limit	collector_v3_pb_7_pe_.ltl	"{""n"":7}"	0.9186115009943023	REALIZABLE	cover	minimal+12,unsolved60+10,nbr5s+8,family3+6,tlsf20k+4
13	40	full_arbiter_unreal1_pb_3_8_pe_.ltl	full_arbiter_unreal1_pb_3_8_pe_.tlsf	param:tlsf/full_arbiter_unreal/parametric/full_arbiter_unreal1.tlsf	full_arbiter_unreal1	param	"{""n"": 3, ""u"": 8}"	2	1842	unrealizable	TIMEOUT	time_limit	full_arbiter_unreal1_pb_2_8_pe_.ltl	"{""n"":2,""u"":8}"	0.023844068055041134	UNREALIZABLE	cover	minimal+12,unsolved60+10,nbr5s+8,family3+6,tlsf20k+4
14	40	full_arbiter_unreal1_pb_4_6_pe_.ltl	full_arbiter_unreal1_pb_4_6_pe_.tlsf	param:tlsf/full_arbiter_unreal/parametric/full_arbiter_unreal1.tlsf	full_arbiter_unreal1	param	"{""n"": 4, ""u"": 6}"	2	1836	none	TIMEOUT	time_limit	full_arbiter_unreal1_pb_3_6_pe_.ltl	"{""n"":3,""u"":6}"	1.3740547569468617	UNREALIZABLE	cover	minimal+12,unsolved60+10,nbr5s+8,family3+6,tlsf20k+4
15	40	full_arbiter_unreal2_pb_5_pe_.ltl	full_arbiter_unreal2_pb_5_pe_.tlsf	param:tlsf/full_arbiter_unreal/parametric/full_arbiter_unreal2.tlsf	full_arbiter_unreal2	param	"{""n"": 5}"	1	1823	none	TIMEOUT	time_limit	full_arbiter_unreal2_pb_4_pe_.ltl	"{""n"":4}"	4.799529746058397	UNREALIZABLE	cover	minimal+12,unsolved60+10,nbr5s+8,family3+6,tlsf20k+4
16	40	lift_gr1+_pb_3_pe_.ltl	lift_gr1+_pb_3_pe_.tlsf	param:tlsf/lift/parametric/lift_gr1+.tlsf	lift_gr1+	param	"{""n"": 3}"	1	3234	none	TIMEOUT	time_limit	lift_gr1+_pb_2_pe_.ltl	"{""n"":2}"	0.039298087009228766	REALIZABLE	cover	minimal+12,unsolved60+10,nbr5s+8,family3+6,tlsf20k+4
17	40	lift_gr1_pb_3_pe_.ltl	lift_gr1_pb_3_pe_.tlsf	param:tlsf/lift/parametric/lift_gr1.tlsf	lift_gr1	param	"{""n"": 3}"	1	3294	none	TIMEOUT	time_limit	lift_gr1_pb_2_pe_.ltl	"{""n"":2}"	0.025112343952059746	REALIZABLE	cover	minimal+12,unsolved60+10,nbr5s+8,family3+6,tlsf20k+4
18	40	lift_pb_4_pe_.ltl	lift_pb_4_pe_.tlsf	param:tlsf/lift/parametric/lift.tlsf	lift	param	"{""n"": 4}"	1	3444	none	TIMEOUT	time_limit	lift_pb_3_pe_.ltl	"{""n"":3}"	0.1530895009636879	REALIZABLE	cover	minimal+12,unsolved60+10,nbr5s+8,family3+6,tlsf20k+4
19	40	lift_unary_enc_pb_4_pe_.ltl	lift_unary_enc_pb_4_pe_.tlsf	param:tlsf/lift/parametric/lift_unary_enc.tlsf	lift_unary_enc	param	"{""n"": 4}"	1	2239	none	TIMEOUT	time_limit	lift_unary_enc_pb_3_pe_.ltl	"{""n"":3}"	4.529931035009213	REALIZABLE	cover	minimal+12,unsolved60+10,nbr5s+8,family3+6,tlsf20k+4
20	40	load_balancer_unreal1_pb_4_8_pe_.ltl	load_balancer_unreal1_pb_4_8_pe_.tlsf	param:tlsf/load_balancer_unreal/parametric/load_balancer_unreal1.tlsf	load_balancer_unreal1	param	"{""n"": 4, ""u"": 8}"	2	1871	unrealizable	TIMEOUT	time_limit	load_balancer_unreal1_pb_3_8_pe_.ltl	"{""n"":3,""u"":8}"	0.045859429985284805	UNREALIZABLE	cover	minimal+12,unsolved60+10,nbr5s+8,family3+6,tlsf20k+4
